,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.82695759627,0.044073788382,1.74209954419,1.7969949265,1.82585315951,1.85664659917,1.91678934115,0.00124804491858
a_std,0.549603951587,0.037904267396,0.477913225779,0.523142419856,0.548527543803,0.574144903525,0.626636627996,0.00121489547804
a_subj.02hcv424u29nd5w,1.86037851659,0.264158646678,1.41861469758,1.67344328013,1.83282207479,2.01606946179,2.45638348574,0.00653945197111
a_subj.02k2uwlhgxnumn9,1.79859668458,0.286520775617,1.32865579164,1.59382327537,1.762611093,1.97022610135,2.44891019561,0.0074940525299
a_subj.03g7h2hzq4o3g26,2.78045698907,0.434008664885,2.06604701173,2.47106323521,2.72954403734,3.03383966513,3.74359935203,0.0125997957936
a_subj.0nmr75cysk1ae0e,2.61602905741,0.373709284083,1.98888707065,2.3551643374,2.57543571229,2.83954303082,3.45639524086,0.00850350464564
a_subj.0t8qp67pqkw36cb,2.49133011425,0.373613714519,1.88093500718,2.22757059145,2.45261509683,2.71914954123,3.35102665655,0.0101107491171
a_subj.0vfpn4uf3t031qu,2.01076843264,0.438778262165,1.32138159793,1.69135690681,1.95539153073,2.26934227326,3.03014555715,0.0168102712494
a_subj.11dsfdtym1yy5mx,1.6481105562,0.192890003735,1.31183214384,1.51078374776,1.63359155399,1.76934816952,2.07426617688,0.00361240278438
a_subj.1d3dadyu4ekqb4q,1.27425990663,0.150524124528,1.01474241127,1.17008400583,1.2646771074,1.36713871814,1.60410440325,0.00335373848023
a_subj.1mt2emp4645cbl1,2.04609967137,0.261478065213,1.60551458712,1.861494077,2.02133684127,2.19605774268,2.64384716725,0.00642208486347
a_subj.1rst24mbtgy9rc8,1.86603311095,0.201088907509,1.51059266046,1.72553025295,1.85449783404,1.99558723527,2.28982939854,0.00414040787278
a_subj.1sala6c9yc2bm1w,2.21282991507,0.24167383942,1.79140826314,2.04446988913,2.19233769572,2.35716381836,2.75407583127,0.00480882495952
a_subj.1tcnxbt2pz7t2gx,2.08394985003,0.241679948107,1.662010139,1.91657987423,2.06109518903,2.22932140503,2.62233244005,0.00545414048175
a_subj.23kscq1vwnlcxzt,2.16306582277,0.41221701633,1.49021256477,1.86991478632,2.11568296488,2.40545762688,3.12890873567,0.0124617725928
a_subj.2b3o5c2c6ntefnb,1.51162825248,0.188779247898,1.18022881339,1.37739438831,1.49540163453,1.63394256343,1.90929013845,0.00394652384719
a_subj.2d25j3h41jzwau7,1.09002403063,0.13058989794,0.874284249394,0.998248528357,1.07744400698,1.16861960316,1.39144897021,0.00300694250057
a_subj.2me0tt0zcbe29f0,1.56408079308,0.213649879215,1.209885158,1.41115367944,1.54046106043,1.69103615487,2.03922914563,0.00592621581069
a_subj.2v2he2qhc118cmx,1.0413520984,0.125990583136,0.821948966833,0.952452682067,1.03089102026,1.11626370636,1.32847153812,0.00293675228273
a_subj.3dgcoqbqucy4uk7,1.84041740933,0.412122955272,1.18156229846,1.54542491338,1.7923092485,2.08288849575,2.78537840077,0.0181065871088
a_subj.3zs7hr5ld5ukg0k,1.16935758128,0.15201874003,0.904753427164,1.06234227332,1.15763957122,1.26609773773,1.49439217038,0.00352479522581
a_subj.49nk7g8z2covmcs,1.61987157595,0.424227297909,0.97592165397,1.31618844818,1.55378031312,1.85344986386,2.60489601208,0.0178934777791
a_subj.4a8cd6a9bt0r6qq,1.25013802389,0.252265898948,0.827491173489,1.06871979107,1.22282094017,1.40817469156,1.81414481272,0.00656155251239
