,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.19651952647,0.485931889383,2.04610173191,2.12993165607,2.17577566016,2.22093818354,2.31530371105,0.0206417325041
a_std,0.726658076779,0.815836376202,0.584534223861,0.650852855762,0.690668352832,0.732811642313,0.821367935275,0.0339933183361
a_subj.02hcv424u29nd5w,2.38617411813,0.309306385384,1.86937845147,2.16951245386,2.35608342224,2.57000053768,3.08332445488,0.00790950202362
a_subj.02k2uwlhgxnumn9,2.04733301734,0.532215666623,1.24693618124,1.65806216676,1.97480093072,2.34818012977,3.32479974007,0.0250380990525
a_subj.03g7h2hzq4o3g26,2.85773402897,0.435994692338,2.13164271428,2.55369027616,2.81221063746,3.11426738529,3.86123256645,0.0123935356282
a_subj.0nmr75cysk1ae0e,3.18827515651,0.636501147176,2.44524418158,2.84895531871,3.12521851474,3.43471039608,4.19933351762,0.0238578646156
a_subj.0t8qp67pqkw36cb,2.29806686735,0.59585438203,1.36137913096,1.85529289518,2.21849385131,2.65029124856,3.66161640683,0.0274914972387
a_subj.0vfpn4uf3t031qu,2.23552038269,0.603062861707,1.29809720178,1.80126680588,2.14980872516,2.58592848972,3.58372118681,0.0277350886363
a_subj.11dsfdtym1yy5mx,2.7919273819,0.460258189109,2.04721889977,2.46794653409,2.73632277087,3.0635230341,3.84490206168,0.0138043193527
a_subj.1d3dadyu4ekqb4q,1.24828269869,0.170225219558,0.963170176007,1.12616299531,1.23600570822,1.35019603579,1.62425529193,0.00441364219094
a_subj.1mt2emp4645cbl1,2.65047907706,0.548029613875,1.83377051649,2.27186585445,2.57012689018,2.94178385948,3.86763094591,0.017591740476
a_subj.1rst24mbtgy9rc8,2.03284537145,0.263319084573,1.57358977332,1.84962116456,2.01389080065,2.19801618211,2.61053818274,0.0052920469762
a_subj.1sala6c9yc2bm1w,2.36311136423,0.293678138513,1.86098156806,2.15534698288,2.33777967364,2.54199240998,3.00644852575,0.00575457397028
a_subj.1tcnxbt2pz7t2gx,2.25435671875,0.525364522726,1.4736536447,1.88282040311,2.17616998201,2.55099434747,3.47553273587,0.0200751631427
a_subj.23kscq1vwnlcxzt,2.30496834021,0.568258305604,1.42631649658,1.88100588214,2.22581340828,2.65920389019,3.58551494533,0.0242056684289
a_subj.2b3o5c2c6ntefnb,2.14381883027,0.408553216222,1.4855853915,1.85198452704,2.10011316085,2.3807765456,3.06678170287,0.0114179638949
