,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.82093115998,0.533679752874,1.71565233622,1.76815595792,1.79754289257,1.82887451456,1.88853103398,0.0226022445851
a_std,0.601391015566,0.995648016449,0.493300260029,0.534687784118,0.559843182109,0.587869761798,0.645423219415,0.0390692876652
a_subj.02hcv424u29nd5w,2.58838197662,0.44733231732,1.86710538013,2.27145471351,2.53846068084,2.85022579906,3.59671928144,0.0138690951817
a_subj.02k2uwlhgxnumn9,2.02412591041,0.239429911272,1.6148984074,1.85627926828,2.00063673732,2.16816963291,2.55158058177,0.00625236084287
a_subj.03g7h2hzq4o3g26,2.00554707546,0.238951259424,1.61185771901,1.83680592028,1.98195993626,2.14487754611,2.52275888164,0.00573779199312
a_subj.0nmr75cysk1ae0e,2.06467192559,0.364124932635,1.48905134282,1.80735999266,2.01500711664,2.27438116675,2.86018262826,0.0112542393593
a_subj.0t8qp67pqkw36cb,1.89344214577,0.225540439925,1.50798207657,1.73285132658,1.8751830625,2.02934517583,2.3940709813,0.0047518867375
a_subj.0vfpn4uf3t031qu,1.38417300234,0.252753778222,1.00094355569,1.21135401768,1.3503963459,1.51372838749,1.939647056,0.00789602098384
a_subj.11dsfdtym1yy5mx,2.28648881017,0.241326857592,1.85938333039,2.11502238229,2.26962083392,2.44240777357,2.8042291354,0.00545432118536
a_subj.1d3dadyu4ekqb4q,1.50183887475,0.219904313108,1.14337526452,1.34229179203,1.48105381571,1.63025002765,1.99368521491,0.00554278912703
a_subj.1mt2emp4645cbl1,1.97905228698,0.357575823754,1.46873389998,1.74908505295,1.92945006816,2.15049329014,2.73390955695,0.0131127462755
a_subj.1rst24mbtgy9rc8,1.28595382294,0.178344679392,0.991071144233,1.16405672951,1.26694880381,1.3882869913,1.66971581939,0.00366485530173
a_subj.1sala6c9yc2bm1w,1.77650377942,0.207196461548,1.41898594451,1.63049603615,1.75958447318,1.903677027,2.23192666685,0.00398283022203
a_subj.1tcnxbt2pz7t2gx,1.95164113811,0.28508433932,1.47754490517,1.75601370585,1.92570230091,2.11921278396,2.574256717,0.00592182465688
a_subj.23kscq1vwnlcxzt,1.49111932968,0.250307833401,1.08789297195,1.31077791002,1.46660016286,1.6400473498,2.05031158791,0.00677473241539
a_subj.2b3o5c2c6ntefnb,1.61003737726,0.218559312479,1.24972834316,1.45435260969,1.58784574112,1.73914281565,2.08689643876,0.00577870567909
a_subj.2d25j3h41jzwau7,1.77414387495,0.461539743069,1.10425760111,1.46236871505,1.71275089635,1.99852415571,2.76796737772,0.0214471426618
a_subj.2me0tt0zcbe29f0,1.41152287841,0.26335181572,1.00734586926,1.23172971464,1.37887924644,1.55061582537,1.99179549522,0.00887134797902
a_subj.2v2he2qhc118cmx,0.904348841668,0.127066518094,0.707900625773,0.825693170527,0.892192261143,0.969270971346,1.1604209379,0.00420136857682
a_subj.3dgcoqbqucy4uk7,1.89662039488,0.281196118766,1.4414064854,1.69344752139,1.86675347894,2.06092683378,2.51680134979,0.00734691317346
a_subj.3zs7hr5ld5ukg0k,1.15552994856,0.124406159754,0.933781378909,1.068817274,1.14637756502,1.23314321085,1.4194972758,0.00270149268156
a_subj.49nk7g8z2covmcs,1.85611785728,0.475088251123,1.23883431782,1.5645858286,1.78176441092,2.05962401712,2.79262852197,0.0229087168194
a_subj.4a8cd6a9bt0r6qq,1.21767067153,0.135424299827,0.974672881054,1.12123492746,1.21203713307,1.30397100268,1.49649589634,0.00246774236226
a_subj.4guce6sjz14ytvx,2.34713116719,0.377267999194,1.73958872187,2.07441879005,2.30539246959,2.57984359366,3.17208792132,0.00990815624933
a_subj.4hnv1vupt17n2g3,2.14115693927,0.350491738848,1.60616743392,1.90377127764,2.09650909762,2.33291430816,2.91503922388,0.0102325401963
a_subj.4hu9ttktex52za9,2.16141959075,0.468644294905,1.40886366005,1.81543036596,2.11170732492,2.45804552991,3.22552367461,0.0186610680121
a_subj.515hk10jmqfx9pw,2.59129211431,0.626924912091,1.73177285578,2.18423833956,2.50285859343,2.91079392323,3.84057397028,0.0279091047484
a_subj.56711s8h61wx53j,2.04392147501,0.434845848715,1.40534402844,1.74337669884,1.97905517315,2.26099065354,3.07010107303,0.0163881111123
a_subj.5b7g1xovbu5p5lg,1.88857590042,0.25562355113,1.46855467547,1.7114923302,1.86349822941,2.03594754592,2.46341556884,0.00686567182649
a_subj.5w3k3mqbvn9cpj9,1.88627610236,0.221397723125,1.50447902681,1.7281417675,1.8693665052,2.0286835885,2.34807109551,0.00514419473447
a_subj.5ye5lnj117htkv2,1.50839348392,0.253894524109,1.09036603147,1.32509203077,1.48464887763,1.66570464619,2.0588938339,0.00800240657233
a_subj.62vl76rkuwy4g4j,1.8070950756,0.433682011689,1.14245110732,1.50091448946,1.75133768861,2.0578262181,2.74770127614,0.0177801308507
a_subj.635cm64vg0hqsoc,1.65168878219,0.246838590707,1.24026599478,1.4766019456,1.62411790467,1.79935546915,2.20348579125,0.00631849697666
a_subj.638f2d4uo4g4f7u,1.44547531893,0.177980174627,1.14938923825,1.32526854677,1.42866295017,1.55218069632,1.81108771108,0.00408904382378
a_subj.6hf6a68p87609mt,1.54120897785,0.184117785293,1.22605860312,1.41107471143,1.52593550351,1.65439707206,1.94025840979,0.00351202404543
a_subj.6luorbxk4cmgx06,1.72867571269,0.252899598477,1.31613065618,1.54696837698,1.70321119158,1.88096002067,2.2858905469,0.00576328010691
a_subj.6lyre9x0uxahst9,1.75851674028,0.244814305745,1.35717113584,1.58839180587,1.73566638584,1.90547488886,2.28884304607,0.00724792284193
a_subj.6pl4f0lf4dz76p1,2.38271489596,0.314804072018,1.8646559817,2.15776652142,2.35293486089,2.57311790471,3.09498182992,0.00708757526292
a_subj.6ts5mlvc617mdsy,1.08577332336,0.143577695018,0.839448401597,0.985962053924,1.07110360835,1.17158865042,1.41460246976,0.00308376382298
a_subj.6z4bxnbo3a92voz,2.01912830116,0.242035832966,1.61573703112,1.85184446277,1.99967988456,2.16330760406,2.53076842242,0.0061097487012
a_subj.6zcx6lz0mjx5yru,0.673448850593,0.129457851679,0.469487874577,0.582895516274,0.656360435407,0.748515014025,0.969573655046,0.00363658739381
a_subj.725vkbmvssvdhvv,1.70252009556,0.443588475262,1.07002872295,1.39792803436,1.64393331834,1.92107190364,2.65397527691,0.0194051241701
a_subj.75yagz8whxzlam2,2.14276342669,0.237781964876,1.72580472186,1.97566361489,2.12415691238,2.28818550974,2.66032933723,0.00506709904435
a_subj.7a3tcnhnmanhzeo,1.98557512451,0.257571828679,1.5652698361,1.80063964112,1.95862823198,2.14256290802,2.56594976135,0.00677236230876
a_subj.7chb1ucy8l7g29z,0.730200636036,0.182757920588,0.444557079758,0.600947743407,0.706411310669,0.83267283779,1.15926491914,0.005168339275
a_subj.7crgnjb73yzv2jg,1.66851767143,0.210469616254,1.30641771718,1.52000994363,1.65062548331,1.79955742528,2.12592918631,0.00418128962207
a_subj.7lhn7ozewd6nu0u,2.77141427046,0.332434303256,2.21093964639,2.53402637,2.73848981027,2.97602779713,3.4776388453,0.00761262123902
a_subj.7mw4dbxb0h521ca,2.83324395653,0.461576754741,2.11836875143,2.50620052524,2.78439165716,3.09366984573,3.84737160138,0.0134129690598
a_subj.7pm36ubudkxwv8r,1.09776555216,0.158225882497,0.847990658946,0.986960358135,1.08155023702,1.1878107422,1.43366095076,0.00442941692035
a_subj.7pvx5wek2khyyys,2.19235702828,0.213343320064,1.82195222011,2.0411641975,2.17830814385,2.32601309264,2.65187297392,0.00421632069864
a_subj.7ypa3e5xevvawjf,1.52632774972,0.226336698461,1.16618361916,1.36692687486,1.49576987779,1.65776476778,2.0511808328,0.00579675130606
a_subj.89kh34yu75hv3l2,2.49558365443,0.249619724804,2.05308719045,2.31996871369,2.47822001256,2.65306946612,3.03607924574,0.00435045326207
a_subj.8ayn2fun799uhg0,3.2186681981,0.367500575471,2.57985502306,2.96345190853,3.18819187153,3.44223714602,4.01155737811,0.00828214872909
