,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.06927592116,0.594508348555,1.91961155613,1.99883327722,2.04406370693,2.08801202717,2.18198533526,0.0251424483899
a_std,0.775279451823,0.905626710362,0.635889042479,0.70004305709,0.736252567727,0.777807353424,0.864355192605,0.0358695026933
a_subj.02hcv424u29nd5w,1.91580278393,0.245681761576,1.4982030378,1.742260241,1.89381045876,2.0628720456,2.4468457328,0.00639686219073
a_subj.02k2uwlhgxnumn9,2.38120995762,0.565687133573,1.51158249802,1.98342585438,2.29863847022,2.70322005767,3.71832925589,0.0183736753855
a_subj.03g7h2hzq4o3g26,3.69712157751,0.614744000604,2.70391028024,3.25232431534,3.63714851284,4.07157167087,5.0701457114,0.0194884902005
a_subj.0nmr75cysk1ae0e,2.26533570039,0.263600380273,1.81093821586,2.079637332,2.24683260776,2.42849844476,2.84764705002,0.00513684410756
a_subj.0t8qp67pqkw36cb,2.35699601057,0.403947911846,1.70778851324,2.06540300201,2.31309759102,2.5885338731,3.29316554208,0.0118726919172
a_subj.0vfpn4uf3t031qu,2.10149292803,0.573812081761,1.19958987401,1.69027104193,2.0398239611,2.43842340513,3.39856081433,0.022775583913
a_subj.11dsfdtym1yy5mx,2.17587676818,0.56875803357,1.32821401993,1.77202014405,2.09352955359,2.4819063182,3.52685870389,0.0213697774552
a_subj.1d3dadyu4ekqb4q,1.28330732855,0.205053184921,0.949579976481,1.13455123874,1.26079644855,1.40547506129,1.73758632992,0.00481311219499
a_subj.1mt2emp4645cbl1,3.32507853305,0.581148706189,2.39730641856,2.90932522444,3.2534790172,3.65351308511,4.69398116987,0.0161741036544
a_subj.1rst24mbtgy9rc8,1.32319476531,0.241320748397,0.950774228984,1.15218431564,1.29174196696,1.45790296496,1.8874977775,0.00663364680041
a_subj.1sala6c9yc2bm1w,1.70903940376,0.211650793456,1.34826792086,1.55905262917,1.69422612636,1.83832914992,2.17097393706,0.00480895291169
a_subj.1tcnxbt2pz7t2gx,2.7880944046,0.531444483514,1.95391272818,2.40419264737,2.72234619104,3.09308328876,4.00912459992,0.0166441389908
a_subj.23kscq1vwnlcxzt,2.34715113772,0.635124478127,1.35092143022,1.87716082543,2.25881613958,2.75578319921,3.75310643166,0.0312800438821
a_subj.2b3o5c2c6ntefnb,2.02227595987,0.457968431703,1.37454654849,1.7081077042,1.95307540694,2.25030334639,3.16148502104,0.0173150553604
a_subj.2d25j3h41jzwau7,1.54135607714,0.475765181511,0.84325919598,1.1859985393,1.4706526531,1.82035087622,2.6611303605,0.0211925941231
a_subj.2me0tt0zcbe29f0,2.16425707689,0.573161333246,1.33497557707,1.75399100025,2.0621957906,2.46281326025,3.56835012227,0.0213673372061
a_subj.2v2he2qhc118cmx,2.19529827713,0.6548832997,1.18622923267,1.70995551798,2.10695168072,2.60086062874,3.73095716519,0.0343277806031
a_subj.3dgcoqbqucy4uk7,1.66117085919,0.433604943984,1.02078033457,1.33649344499,1.58541951922,1.91380989015,2.72255658302,0.0170818512034
a_subj.3zs7hr5ld5ukg0k,1.3616020036,0.151212959675,1.09283499636,1.25347560015,1.35280201693,1.45915938576,1.68347713071,0.00261161579516
a_subj.49nk7g8z2covmcs,2.23819115026,0.570474217543,1.36403773699,1.82702371622,2.16459696036,2.54822890038,3.62841198269,0.0242421994279
a_subj.4a8cd6a9bt0r6qq,1.34204146783,0.135574975272,1.09858028857,1.24687481013,1.33615230646,1.42734147345,1.62699242935,0.00269570688169
a_subj.4guce6sjz14ytvx,2.30147063027,0.631148717959,1.3342133748,1.84198700236,2.20608167293,2.67072901016,3.82568980625,0.0281061429768
a_subj.4hnv1vupt17n2g3,2.16755835913,0.521808397718,1.4131976106,1.7979564712,2.0805426695,2.44196679407,3.38637117237,0.0215975561481
a_subj.4hu9ttktex52za9,2.00469036598,0.547270549586,1.11247585765,1.60733545185,1.93202017037,2.34337398155,3.22658895701,0.0265182830783
a_subj.515hk10jmqfx9pw,2.75602095063,0.513811256106,1.91015384411,2.38287942681,2.70509604262,3.07074527147,3.89463209861,0.0153485518569
a_subj.56711s8h61wx53j,2.43654517383,0.625656557905,1.4456161177,1.9831707867,2.36525152273,2.81155408023,3.79864533966,0.0240026554438
a_subj.5b7g1xovbu5p5lg,1.36220070629,0.221803885951,1.00952929307,1.20809039487,1.33379432578,1.48516446748,1.86556940096,0.00645595710093
a_subj.5w3k3mqbvn9cpj9,2.24296737964,0.609007063013,1.31052937575,1.79720300234,2.14586005414,2.6066177502,3.60767566064,0.0275907634472
a_subj.5ye5lnj117htkv2,1.58595287937,0.285588966308,1.11478228937,1.38079391604,1.55923181752,1.75543840975,2.23553157196,0.00883977438698
a_subj.62vl76rkuwy4g4j,1.93603453986,0.558255754065,1.12183009849,1.56326920714,1.86175653876,2.22203047151,3.15645088428,0.0277470271211
a_subj.635cm64vg0hqsoc,2.31220810745,0.655295605418,1.44435190085,1.85787605927,2.19023622293,2.62793559428,3.84732887454,0.0300904902686
a_subj.638f2d4uo4g4f7u,1.99356751789,0.628195439296,1.10693380016,1.54269970906,1.89574749248,2.32888441432,3.43062581132,0.0313290764199
a_subj.6hf6a68p87609mt,1.56829174186,0.267631677246,1.13653104016,1.37462322609,1.54132798957,1.71912319599,2.17664899605,0.00691448082269
a_subj.6luorbxk4cmgx06,1.27001951213,0.220087570933,0.908664747864,1.1130406965,1.24426836891,1.40207224354,1.76549321209,0.00558412469314
a_subj.6lyre9x0uxahst9,2.13761743532,0.405511493142,1.50191297313,1.84340358814,2.09306243194,2.38287852565,3.05637292583,0.0129817448791
a_subj.6pl4f0lf4dz76p1,2.90882580154,0.713755469737,1.85119710307,2.39900495307,2.78017860489,3.30286752653,4.62710015269,0.0292087693483
a_subj.6ts5mlvc617mdsy,1.78024481048,0.383680302078,1.18915270873,1.50345281506,1.73099736228,1.99043332763,2.68939191683,0.0136501788313
a_subj.6z4bxnbo3a92voz,2.56356805698,0.331155264382,2.02365757066,2.33269873962,2.53490269296,2.75650747513,3.26173382541,0.00740530393061
a_subj.6zcx6lz0mjx5yru,1.15055385892,0.141114859937,0.897498224465,1.05286187189,1.14283700194,1.24320394801,1.44323521803,0.00232597875882
a_subj.725vkbmvssvdhvv,1.8811198877,0.504955617496,1.17945494678,1.53109916108,1.79611888207,2.13214794996,3.12411755186,0.0235643413162
a_subj.75yagz8whxzlam2,1.82676900511,0.326812198234,1.33762878042,1.59987197095,1.77930330544,1.99888088905,2.57806178442,0.010661853961
a_subj.7a3tcnhnmanhzeo,3.16301638768,0.584741373676,2.25567777415,2.75762918838,3.07671749245,3.4933603089,4.5202543539,0.0167971588166
a_subj.7chb1ucy8l7g29z,1.42349849492,0.156674104528,1.14539314623,1.31316324786,1.41573577067,1.52357818342,1.75800861346,0.00302372140501
a_subj.7crgnjb73yzv2jg,1.3893950827,0.261275092351,0.970375702947,1.2009240508,1.36220456335,1.5399854954,1.98848365582,0.00712371609752
a_subj.7lhn7ozewd6nu0u,2.43901202442,0.451319575669,1.72070504851,2.10890901167,2.3884090082,2.70592812673,3.44297247804,0.0138670872111
a_subj.7mw4dbxb0h521ca,2.49062457428,0.544857586183,1.6680704587,2.10096737059,2.40699143371,2.78243741908,3.80044992559,0.0179993296663
a_subj.7pm36ubudkxwv8r,1.76592851158,0.314004576297,1.27305828067,1.54948716434,1.72719907067,1.94369518196,2.48704494239,0.00930757794389
a_subj.7pvx5wek2khyyys,1.87777387178,0.247354804539,1.4697310272,1.70764522028,1.85249230223,2.02053527749,2.42824105177,0.00535851954027
a_subj.7ypa3e5xevvawjf,1.65088084883,0.561165198507,0.921227508731,1.2689243898,1.54347769145,1.90507620163,2.9470184486,0.0305628573443
a_subj.89kh34yu75hv3l2,3.17583091585,0.408174730443,2.45242787483,2.88456519388,3.13856608743,3.43142661117,4.05881421208,0.00959987640488
a_subj.8ayn2fun799uhg0,3.21894282919,0.59265560188,2.27388019574,2.79488272989,3.15532362625,3.55138253837,4.59040332561,0.0165819424973
a_subj.8ha3jlm3pt1fbfu,2.46278997442,0.47629089245,1.72881063805,2.12000548189,2.39388855057,2.73731786938,3.56352724518,0.0138065684385
a_subj.8oagzfdbudkpe9a,2.52154289454,0.473394014854,1.80016581149,2.17816199698,2.45045444256,2.78122252635,3.61954238058,0.0148959283114
a_subj.8qotfy1dff0w5mp,2.39114975984,0.58492402451,1.47712027224,1.96310141227,2.31270105495,2.73962527093,3.73150102597,0.0207803966467
a_subj.8ucqja5xvp8q0lj,2.7833355041,0.615061291108,1.84608108671,2.33813180575,2.69711469155,3.12940352938,4.25273676386,0.0219494164602
a_subj.8utuj12fwr7badf,2.48203612595,0.625452512149,1.55233345004,2.05932049224,2.40093737743,2.81484527411,3.83221087508,0.0266160768067
a_subj.8wqt7fs28rrsvod,2.23191550232,0.587252602623,1.29870849887,1.80438672612,2.16015510722,2.5790901041,3.62564001425,0.0256009213188
a_subj.91k0axnxz05j6s0,1.58544637408,0.282412822776,1.12728568621,1.38011763255,1.55763680939,1.75768200212,2.23321125473,0.00833335120309
a_subj.94kjlz1mwskdyz5,3.1009510055,0.576121972383,2.3013467937,2.72219087921,3.02467819308,3.39296109862,4.27296213677,0.0181107435218
a_subj.969uv63tmwzm4mr,2.05329568485,0.5938957315,1.15320255117,1.6220000394,1.96505596783,2.38921986997,3.45049197481,0.0263260753083
a_subj.9s9tnt3zsdkde1d,1.96812167416,0.53146311577,1.18783863951,1.57990046611,1.88391631295,2.26193600431,3.21907518887,0.0239688837076
a_subj.a0ypqyrbf9ml77g,2.4858825301,0.625136427611,1.58587384732,2.05149728388,2.38519421417,2.80258519426,3.97921249326,0.0249062301149
a_subj.a1lkv1v4nhcqhxk,2.28680057843,0.359702266964,1.69284703765,2.02763203278,2.24399516674,2.50692190417,3.11924966814,0.00718631522627
a_subj.a3cbt12u2kvkufb,1.82479758154,0.479335435286,1.1229051383,1.4876671191,1.74397531609,2.06645240597,3.02501283071,0.0189613282903
a_subj.ak36jhs6mfvr1k4,2.87476329527,0.714360356134,1.83201339768,2.38219530876,2.78362014749,3.24945887221,4.46773583653,0.0301187188405
