,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.13200823138,0.406715999803,1.98051310508,2.06748277101,2.11242793887,2.1622793926,2.26583174402,0.0166789383603
a_std,0.774407351786,0.624264089991,0.633525441697,0.706942101347,0.747953846366,0.788747517382,0.886340902924,0.0243540211738
a_subj.02hcv424u29nd5w,1.86836377422,0.299673903496,1.38701186619,1.64938255806,1.83385935849,2.05130902642,2.54174593625,0.00906070914768
a_subj.02k2uwlhgxnumn9,2.56857152023,0.669880751859,1.50980121864,2.11237503578,2.47863819847,2.93212064413,4.08179460649,0.0344180465027
a_subj.03g7h2hzq4o3g26,2.65158249472,0.565994145901,1.77471087787,2.24724098493,2.56997409256,2.9713289405,3.98242895547,0.0231250888942
a_subj.0nmr75cysk1ae0e,2.35714414542,0.285659537004,1.86064866556,2.15562449344,2.33729255444,2.54256183669,2.96186204919,0.00689824995949
a_subj.0t8qp67pqkw36cb,1.6940476866,0.516459898002,0.975240935837,1.34217360703,1.60608370192,1.93541158573,2.98409005644,0.0243501072439
a_subj.0vfpn4uf3t031qu,1.91498581571,0.603398999982,1.02615102875,1.49311205411,1.81161550842,2.20721868924,3.51364556153,0.0337942895998
a_subj.11dsfdtym1yy5mx,2.06135028107,0.337236701716,1.51453050406,1.81943094763,2.02661976727,2.26525349796,2.80803007819,0.00813158230739
a_subj.1d3dadyu4ekqb4q,1.4525709698,0.171134823983,1.15118376183,1.33263012467,1.44028638668,1.55923692168,1.82302890925,0.003612622958
a_subj.1mt2emp4645cbl1,3.12599726765,0.662183971952,2.1114508291,2.64854239652,3.02329756935,3.50253176726,4.68690671474,0.0236147522186
a_subj.1rst24mbtgy9rc8,2.3097687863,0.468721825096,1.58194877221,1.97640509923,2.24253127607,2.57528700268,3.38329073065,0.0155161978045
a_subj.1sala6c9yc2bm1w,2.22075332989,0.306347522803,1.71070427003,2.00541158212,2.18923902204,2.40116065216,2.88990172036,0.0081812953459
