,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.73024303545,0.414147671637,1.62274902618,1.67823671693,1.70826651555,1.74033841987,1.80237040077,0.0211464384761
a_std,0.618886038813,0.699058141581,0.509062436242,0.558182581394,0.583387373141,0.611703102833,0.671635744963,0.0339889838875
a_subj.02hcv424u29nd5w,1.77853100959,0.30229389351,1.28007057202,1.55966114319,1.74586572424,1.96483472978,2.43914880605,0.0098049926765
a_subj.02k2uwlhgxnumn9,1.42446118091,0.274657998871,1.01735427557,1.23323849388,1.38160654789,1.56812677847,2.0773655074,0.0110184042859
a_subj.03g7h2hzq4o3g26,3.17398389819,0.473831475384,2.41539518756,2.86360317299,3.13637793143,3.43299098136,4.13646670456,0.0163951715623
a_subj.0nmr75cysk1ae0e,1.87390281388,0.247245284797,1.46479899556,1.69321986168,1.8512435936,2.02265261223,2.42110440401,0.00586319551925
a_subj.0t8qp67pqkw36cb,1.73850236988,0.205345630529,1.38212650841,1.59570362011,1.72093777626,1.86188650297,2.18631271281,0.0041827681999
a_subj.0vfpn4uf3t031qu,1.04309812514,0.136987348491,0.809737471073,0.947320194092,1.03053411103,1.12811035115,1.33193773816,0.00363649935158
a_subj.11dsfdtym1yy5mx,1.88899904125,0.183695109394,1.56534458016,1.75962525025,1.87828302662,2.00607252818,2.29167623132,0.00383498849395
a_subj.1d3dadyu4ekqb4q,1.2168852123,0.168898398102,0.935393823755,1.09424757333,1.19988028591,1.32096928579,1.58969669099,0.00416464184962
a_subj.1mt2emp4645cbl1,2.69842302735,0.379030827444,2.06524438858,2.42404534551,2.65926222033,2.93254796886,3.53713959175,0.0111185502989
a_subj.1rst24mbtgy9rc8,1.44604800443,0.220332876032,1.09164534356,1.28763973521,1.41910946853,1.5701361375,1.96250558895,0.00712762774678
a_subj.1sala6c9yc2bm1w,1.92591810241,0.310093943608,1.43481204496,1.70204128509,1.88681893642,2.10808985161,2.63849437255,0.00898436448677
a_subj.1tcnxbt2pz7t2gx,2.18304459851,0.505773637861,1.38886261336,1.8198119295,2.11607911114,2.48199971011,3.34031281143,0.0220102186104
a_subj.23kscq1vwnlcxzt,1.17182768764,0.185215671813,0.880287843253,1.04034642087,1.1541314962,1.27256960356,1.59899397006,0.00540121404065
a_subj.2b3o5c2c6ntefnb,2.26345014378,0.376298235312,1.64532086769,1.99432521696,2.22459823534,2.48867934691,3.09647532741,0.011546206721
a_subj.2d25j3h41jzwau7,1.39919962758,0.421726302221,0.845066257575,1.11726020315,1.32330875195,1.60161793996,2.30568042819,0.0196973791949
a_subj.2me0tt0zcbe29f0,1.52333358447,0.290190388891,1.08076071926,1.32205678226,1.48466028339,1.68031500069,2.19068961994,0.0104341980909
a_subj.2v2he2qhc118cmx,1.88672417396,0.455072398947,1.21531008992,1.57286223718,1.80182732025,2.12433809305,3.06316625732,0.0222459331711
a_subj.3dgcoqbqucy4uk7,1.58245979678,0.186350869625,1.25476180347,1.45049366945,1.56902874477,1.70051901772,1.97751244586,0.0049297431123
a_subj.3zs7hr5ld5ukg0k,1.25079716421,0.149831739515,0.984263456946,1.14464645505,1.24098514304,1.34847372162,1.5648197123,0.00281050145258
a_subj.49nk7g8z2covmcs,1.86571056261,0.296428090558,1.37604558709,1.65003880323,1.83803546987,2.04762859504,2.55860628599,0.00852612647458
a_subj.4a8cd6a9bt0r6qq,1.09133821205,0.307746898414,0.60031817812,0.866651318315,1.05610840207,1.28190980114,1.77154156288,0.0096573860625
a_subj.4guce6sjz14ytvx,1.04010702166,0.122202998272,0.829558933994,0.95324000155,1.03253690722,1.11466720895,1.29145529542,0.00241510962932
a_subj.4hnv1vupt17n2g3,1.85794659164,0.277740366582,1.41470590579,1.66288067434,1.8248305861,2.01796300548,2.46454484508,0.0089978405095
