,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.71388100555,0.436391889999,1.62006897926,1.66834399261,1.69669284827,1.72403685139,1.78111536353,0.0173875240764
a_std,0.548781743453,0.499571893336,0.463528335427,0.503737729754,0.526499099091,0.551128430681,0.601356074571,0.0209185866139
a_subj.02hcv424u29nd5w,2.77660128099,0.316077426271,2.23985434279,2.54664128426,2.7526192682,2.97148725894,3.46724737901,0.00765146259023
a_subj.02k2uwlhgxnumn9,2.35276773058,0.363879708826,1.74471013708,2.09277150885,2.31429572258,2.5738181073,3.15740106368,0.0107323918032
a_subj.03g7h2hzq4o3g26,1.79492989771,0.210980354748,1.44307333191,1.64293551287,1.77521645488,1.92433850231,2.25843682374,0.00522369431051
a_subj.0nmr75cysk1ae0e,2.51888082624,0.367292894347,1.91377024698,2.25893650794,2.48295000023,2.73923951306,3.31901233389,0.0103070717608
a_subj.0t8qp67pqkw36cb,1.58540443891,0.240892243162,1.19477993767,1.40925014362,1.55497792969,1.72784138095,2.13572591486,0.00697751836509
a_subj.0vfpn4uf3t031qu,1.29595724385,0.157630409924,1.0251407282,1.18795353462,1.28406273426,1.39171399096,1.63585416083,0.00371257777143
a_subj.11dsfdtym1yy5mx,1.5347782498,0.170385708377,1.24694463883,1.41459408748,1.52058221052,1.63728114351,1.9106157769,0.00372709525345
a_subj.1d3dadyu4ekqb4q,2.17947298856,0.393769311027,1.55324941164,1.89480038124,2.1304313093,2.41108797525,3.08540963264,0.0135800168254
a_subj.1mt2emp4645cbl1,1.7181777798,0.200462679173,1.3871668129,1.57389059375,1.70049087655,1.83582262425,2.15103825965,0.00475015360213
a_subj.1rst24mbtgy9rc8,1.83251951608,0.210222397311,1.46573021403,1.6844784355,1.81541755032,1.96766338176,2.28934522863,0.00517555144067
a_subj.1sala6c9yc2bm1w,2.45942726095,0.438971773105,1.75333334559,2.15115868977,2.40974928234,2.71023131555,3.47528765768,0.0141731294723
