,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.75892228126,0.0316571979716,1.69811289821,1.73758856394,1.75833676794,1.77907510518,1.82250472367,0.000610304277033
a_std,0.460505549508,0.0241011460405,0.416491281456,0.443239127417,0.459828957364,0.47661566176,0.510654684708,0.000449401015156
a_subj.02hcv424u29nd5w,2.43966004405,0.151589282039,2.17247810884,2.33047533066,2.43268101671,2.5375703831,2.75238505319,0.00340408696513
a_subj.02k2uwlhgxnumn9,1.67710082209,0.0990454202941,1.49571681436,1.60698424545,1.67251231823,1.73981581679,1.88759612266,0.00274410850041
a_subj.03g7h2hzq4o3g26,3.10264292816,0.134107349455,2.84701316083,3.01162238588,3.09674192114,3.1908885472,3.37775765819,0.00256641291022
a_subj.0nmr75cysk1ae0e,2.01660913111,0.105444786374,1.82603767803,1.9429583059,2.01189310218,2.0849431919,2.23683818185,0.00244297505749
a_subj.0t8qp67pqkw36cb,1.77092141678,0.0811609385535,1.62154477498,1.71478440474,1.76851701403,1.82382441163,1.93829691466,0.00144204629717
a_subj.0vfpn4uf3t031qu,1.16459207512,0.0521373367637,1.06723597822,1.12791667863,1.16327197197,1.19852517648,1.2717550997,0.00104880912623
a_subj.11dsfdtym1yy5mx,1.78607915898,0.0795623335504,1.63733491442,1.73315490758,1.78248285791,1.83480184454,1.95147727199,0.00161494421126
a_subj.1d3dadyu4ekqb4q,1.52863318669,0.0883017488651,1.36827675659,1.4656868126,1.52413972643,1.58776351047,1.71318556612,0.00205150467776
a_subj.1mt2emp4645cbl1,2.15147847505,0.0971287114706,1.96952274475,2.08555191302,2.14964486483,2.21466736022,2.35358776431,0.00173638087524
a_subj.1rst24mbtgy9rc8,1.78172149434,0.0738789552684,1.64514200688,1.73018960121,1.77951780304,1.83145700681,1.93257163985,0.0012953792171
a_subj.1sala6c9yc2bm1w,3.05432896162,0.224517497363,2.65765905889,2.89945765452,3.03781723526,3.19652112893,3.53482654219,0.0071531818752
a_subj.1tcnxbt2pz7t2gx,1.93154497501,0.0942209070225,1.75516240481,1.86697432753,1.92644531155,1.99266327839,2.13024132867,0.00190031300515
a_subj.23kscq1vwnlcxzt,1.35323225609,0.063631698016,1.2312699161,1.31115268879,1.35058987853,1.39397260639,1.48592472453,0.00133609858633
a_subj.2b3o5c2c6ntefnb,1.86825994981,0.0925502461984,1.69445911392,1.80365162256,1.86494349312,1.92831727808,2.05841553729,0.00194028673892
a_subj.2d25j3h41jzwau7,1.2857326874,0.0649674717369,1.16323707141,1.24080375347,1.2849492125,1.32930716431,1.4147923729,0.001324310688
a_subj.2me0tt0zcbe29f0,1.20581879407,0.0567998772703,1.10188078854,1.16516953872,1.20444919714,1.24478988118,1.31778423499,0.00112171105606
a_subj.2v2he2qhc118cmx,1.56027020633,0.0725918441318,1.42902104505,1.50935983466,1.55739686478,1.60746264102,1.70862253778,0.00138349849173
a_subj.3dgcoqbqucy4uk7,1.55789982615,0.0692675240225,1.42534731395,1.51046881215,1.55516803928,1.60294280344,1.69949325402,0.00145410440049
a_subj.3zs7hr5ld5ukg0k,1.10504751054,0.0556423384837,1.00365456837,1.06683533383,1.10260207212,1.14023651964,1.22270467802,0.00118540347764
a_subj.49nk7g8z2covmcs,1.50169768323,0.071070088585,1.36689703418,1.45391471324,1.49928726753,1.54774744149,1.64731301694,0.00140528721955
a_subj.4a8cd6a9bt0r6qq,1.2309603558,0.0732951162996,1.09386738286,1.18051567971,1.22740427276,1.27844404214,1.38537511761,0.00165954733483
a_subj.4guce6sjz14ytvx,1.58412694577,0.0703210205832,1.45258071098,1.53651583391,1.58225137657,1.62997814863,1.72979170945,0.00108364906992
a_subj.4hnv1vupt17n2g3,1.55170916834,0.0753186772755,1.41145092597,1.50047189601,1.54712889504,1.60056853158,1.71131291935,0.00159750221066
a_subj.4hu9ttktex52za9,1.39261928471,0.0776172863399,1.2539118177,1.33594872968,1.38800366224,1.44394543261,1.55356631412,0.00207893473021
a_subj.515hk10jmqfx9pw,2.04432114629,0.105196017199,1.84941732512,1.97180305338,2.03985969942,2.11271692918,2.25780840304,0.00241358206622
a_subj.56711s8h61wx53j,1.55753194478,0.0821975046363,1.40900002279,1.50111671022,1.55478230567,1.61103937571,1.72984996233,0.001824675926
a_subj.5b7g1xovbu5p5lg,1.5106451428,0.0674171104534,1.38764084207,1.46352579291,1.50637317325,1.55431001116,1.65399138954,0.00142632265021
a_subj.5w3k3mqbvn9cpj9,1.73090811252,0.0929266319906,1.55717586943,1.66511244265,1.72759725601,1.79142483655,1.92331997644,0.00170784581112
a_subj.5ye5lnj117htkv2,1.45713100277,0.0817398341616,1.30812367455,1.40137914641,1.45473109057,1.50881838275,1.63099018258,0.00194803899632
a_subj.62vl76rkuwy4g4j,1.50032040943,0.0711354867073,1.36770991998,1.45099209079,1.49990610529,1.54567954882,1.64433942793,0.00132835568535
a_subj.635cm64vg0hqsoc,1.67075377103,0.0760496422093,1.52952287663,1.61800816025,1.66853053045,1.72134011704,1.83116741755,0.00125035588055
a_subj.638f2d4uo4g4f7u,1.41605942444,0.0659022030185,1.28864762546,1.37021215378,1.41523244607,1.45958149764,1.5480596989,0.00143749328556
a_subj.6hf6a68p87609mt,1.16476929542,0.0561518659975,1.06050511466,1.12563652791,1.16327661128,1.20140885932,1.27878488406,0.00123691160207
a_subj.6luorbxk4cmgx06,1.83318088168,0.0870089593832,1.66904368855,1.77145578367,1.83230267071,1.89120707266,2.00873459627,0.00196055497488
a_subj.6lyre9x0uxahst9,1.69185648698,0.0787854641139,1.54238087311,1.63892171968,1.68955494934,1.74394473327,1.85262085551,0.00166666219271
a_subj.6pl4f0lf4dz76p1,2.63827455073,0.152452767594,2.3663163502,2.5315472822,2.62927799201,2.73840045224,2.95931900363,0.00365887281066
a_subj.6ts5mlvc617mdsy,1.20238727221,0.0558065519277,1.0978646953,1.16387987195,1.20047209489,1.2401911957,1.31601835722,0.000952056792611
a_subj.6z4bxnbo3a92voz,1.81188038425,0.0809455474009,1.65773450022,1.7568243999,1.80896897841,1.86526769464,1.97648231578,0.00190427968145
a_subj.6zcx6lz0mjx5yru,0.754502926638,0.0458520177315,0.6713814419,0.722596429665,0.751737209012,0.782968912718,0.853698374674,0.000970181669861
a_subj.725vkbmvssvdhvv,2.2651966658,0.141033623687,2.01392850609,2.16542502101,2.25705142036,2.35466852429,2.56869936069,0.00401952858483
a_subj.75yagz8whxzlam2,2.48468108642,0.116643747776,2.26163109182,2.40504719181,2.48222760218,2.56121210576,2.72549092577,0.00242573275566
a_subj.7a3tcnhnmanhzeo,2.1334286554,0.097345639564,1.95178599674,2.06798439329,2.12986215816,2.19615930128,2.3344612364,0.00256804318478
a_subj.7chb1ucy8l7g29z,1.46480571953,0.0826588734251,1.30786779042,1.40775202093,1.46224577007,1.51840980488,1.63481461425,0.00134678729978
a_subj.7crgnjb73yzv2jg,1.41545280099,0.0634636671357,1.29466360882,1.37296351484,1.4138616562,1.45691387538,1.54289549608,0.00118352498067
a_subj.7lhn7ozewd6nu0u,2.5450294955,0.114715460138,2.32344233728,2.46839671754,2.54082139259,2.61860730082,2.77831954592,0.00253542595239
a_subj.7mw4dbxb0h521ca,1.82100437503,0.080542447205,1.67325439155,1.76653138039,1.81649961591,1.87481009839,1.98849929184,0.00137798361288
a_subj.7pm36ubudkxwv8r,1.3311513819,0.0635185851515,1.21324564376,1.28773717783,1.32819080758,1.37293226143,1.46009364823,0.00141117762056
a_subj.7pvx5wek2khyyys,2.06026214769,0.093343485522,1.88848745227,1.99637816713,2.05812609686,2.12112324661,2.24847680495,0.00171186150387
a_subj.7ypa3e5xevvawjf,1.54531630304,0.0908874063637,1.37350590634,1.48328056109,1.54194804489,1.6036683548,1.73211815229,0.00231630382993
a_subj.89kh34yu75hv3l2,3.13927739538,0.127114537955,2.89951062095,3.05176947494,3.13654266188,3.22253020552,3.40328595741,0.00239795759405
a_subj.8ayn2fun799uhg0,2.28835190969,0.105945636164,2.09264288552,2.21353107232,2.28144675376,2.36039608707,2.50137538521,0.00223382824035
a_subj.8ha3jlm3pt1fbfu,1.98968825633,0.111379500799,1.7901431896,1.91270595881,1.98463092807,2.06221825767,2.22544352541,0.00241442197596
a_subj.8oagzfdbudkpe9a,2.11608103529,0.120159059361,1.90113474686,2.03413097146,2.1083630554,2.19274222524,2.37450145273,0.0025492175759
a_subj.8qotfy1dff0w5mp,1.46032144046,0.0631993308333,1.34447779706,1.41609538245,1.45782115984,1.50156118107,1.58904056758,0.00118452481524
a_subj.8ucqja5xvp8q0lj,2.46744159098,0.116915692606,2.2497946185,2.38686788765,2.46341509849,2.54410844301,2.70643648342,0.00235881314146
a_subj.8utuj12fwr7badf,1.9786087115,0.107897914565,1.77591540162,1.90404876674,1.97474472528,2.04802174381,2.19796448958,0.00262728127471
a_subj.8wqt7fs28rrsvod,1.39724090584,0.0716208597738,1.26281591802,1.34759092616,1.39623457614,1.44474240207,1.53768667206,0.00156825651222
a_subj.91k0axnxz05j6s0,1.57884334125,0.0775592545504,1.43376890578,1.52477955542,1.57601907729,1.62958958448,1.74322695421,0.00154877237035
a_subj.94kjlz1mwskdyz5,2.13142049507,0.0867260385079,1.96833156347,2.07253590301,2.12937919388,2.19023173344,2.30388702282,0.00172298018552
a_subj.969uv63tmwzm4mr,1.31679416495,0.0589654703959,1.20572153016,1.27651626563,1.31521527823,1.35489301642,1.43735249641,0.000993784299619
a_subj.9s9tnt3zsdkde1d,1.32900605124,0.0592695119064,1.21838128363,1.28718160559,1.32761694215,1.36714626606,1.45204158169,0.00116377986894
a_subj.a0ypqyrbf9ml77g,3.14236345107,0.160167827937,2.84936842451,3.03206956584,3.13720043694,3.24744102028,3.46737361401,0.00466194373921
a_subj.a1lkv1v4nhcqhxk,1.93479538843,0.100221064179,1.75022080622,1.86534022262,1.93153902719,2.00090342232,2.13883257798,0.00219272786989
a_subj.a3cbt12u2kvkufb,1.73218100221,0.0904441113283,1.56882984149,1.66845366513,1.72871234882,1.78938665402,1.92563441216,0.00225331593934
a_subj.ak36jhs6mfvr1k4,2.1896571622,0.0942895836421,2.0151644976,2.12499122558,2.18781560542,2.25113342471,2.382309229,0.00164921427033
a_subj.al211kurjrt47cf,1.30453643767,0.0604648428162,1.1914090545,1.2629153717,1.30274690752,1.34324107589,1.43291147357,0.00115772218804
a_subj.as5to7tunoclm8f,0.713151199034,0.0468970950282,0.627464071533,0.681202098447,0.710943781404,0.743301106618,0.814319362247,0.00118875812896
a_subj.b5g9z0f5t7dgmc9,1.45038248666,0.072151153238,1.31992145214,1.39955200525,1.44739450487,1.49792590706,1.6038349195,0.00141037832515
a_subj.bbvjomjat1ov5tg,3.02334187658,0.158658795246,2.73122709927,2.91315778645,3.01976170842,3.12702102002,3.34912831108,0.00300265549382
a_subj.bd62yxathku4xs6,1.74100037262,0.0872282180419,1.58214495075,1.68206719922,1.7356831288,1.79613963866,1.92475581855,0.00189420378504
a_subj.becsf7fkxp4db76,1.94191796347,0.110041792675,1.74341754881,1.86739575424,1.93763067207,2.00969820355,2.17237238123,0.00265106976427
a_subj.bev7xbmxmpb8r5d,1.69085885569,0.0773628165485,1.54638798064,1.63773062651,1.68809461716,1.74123525906,1.8484113195,0.00144306074496
a_subj.bjqhm81ebo4co5t,1.45512434167,0.0625694045807,1.33856790914,1.41263651608,1.45236732318,1.49518224671,1.58699305191,0.00135629126712
a_subj.bulhx7o0bfzqhzw,1.59794924367,0.0756308683539,1.45649963249,1.54711169528,1.59549232658,1.64586153248,1.75169955587,0.00148606837689
a_subj.bv7hm4c4ppe8xxv,0.990464773188,0.0499530412305,0.899207727449,0.95553316869,0.988795038451,1.02326733905,1.09591981548,0.00124009993774
a_subj.byks08c5xj2mze0,2.76528172824,0.138400451744,2.50248151844,2.67218957698,2.76261739131,2.85703830179,3.04520994546,0.00296907788854
a_subj.c4ojvack7zrzarj,1.98093032184,0.085160489741,1.8251354404,1.92253339629,1.97776070934,2.03616718232,2.15871788297,0.0016000511351
a_subj.c6r924wdcxtkolt,1.30869118349,0.0666993667802,1.17981317531,1.26252237805,1.30760045355,1.35366699726,1.44416643686,0.00126871527158
a_subj.ckl8g4fh7h8nk6l,1.55875542089,0.0880668135848,1.39564852426,1.49952891381,1.55346245355,1.6148037647,1.7458390664,0.00209176274035
a_subj.cna8xkr6q6u9q68,1.672531827,0.0845614667397,1.51524537017,1.61461268509,1.66983167213,1.72779447186,1.84555616177,0.00188374033182
a_subj.coppe66xbmkn6yj,1.40620684366,0.0637244113026,1.27813496779,1.36405310212,1.40559346933,1.4470541145,1.53480720905,0.00109955796341
a_subj.cwywy95a7xtztbg,1.78354445762,0.119825867647,1.56925583395,1.69864131157,1.77681456074,1.86222373609,2.03787928097,0.00391103171072
a_subj.d34qblex2og07y4,1.49023566982,0.0700338698446,1.35717539695,1.44228952157,1.48908451014,1.53589692996,1.63438851676,0.00161536147085
a_subj.d86uhkrx9j9nbgw,1.71646952372,0.0756329794578,1.57515450415,1.66463326477,1.71288234024,1.76478105889,1.86983579404,0.00129183116262
a_subj.d9zbz30y0mh2mdc,1.94470551544,0.119355736693,1.72982919903,1.86202280818,1.93806973427,2.01955980211,2.19922960377,0.00344917421
