,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.76789227094,0.0422970533056,1.68666598389,1.73910684406,1.76718205619,1.79643191712,1.85279585832,0.00103166658782
a_std,0.549502086976,0.0363811521551,0.482520509192,0.525454705053,0.54807141095,0.572387073621,0.624875468318,0.0010898826099
a_subj.02hcv424u29nd5w,2.64643877898,0.346236026224,2.05809703582,2.40084321606,2.61563550335,2.86263681048,3.41627507567,0.00804977221915
a_subj.02k2uwlhgxnumn9,1.56609096544,0.210976270025,1.21080564275,1.41505843418,1.54581981613,1.69686827795,2.04214725012,0.00545685733017
a_subj.03g7h2hzq4o3g26,2.45771175997,0.272859141002,1.98351036271,2.26395823915,2.44074387052,2.62779758766,3.03757221068,0.00590004680115
a_subj.0nmr75cysk1ae0e,2.46914616942,0.335228397146,1.89418059086,2.23084824291,2.44317919832,2.68052936149,3.18460613516,0.00984643846773
a_subj.0t8qp67pqkw36cb,2.5036464137,0.292996842694,1.996366125,2.29591744564,2.48043994981,2.6945091636,3.12211918256,0.00666326325906
a_subj.0vfpn4uf3t031qu,1.1952349075,0.158319163365,0.920406973429,1.08321186675,1.17992288386,1.29530334616,1.54017089,0.00379630479845
a_subj.11dsfdtym1yy5mx,1.54473067057,0.178724644807,1.23840681589,1.41852436545,1.53145555397,1.65425839476,1.94058299762,0.00384389775393
a_subj.1d3dadyu4ekqb4q,1.39344026634,0.176196331586,1.09900161126,1.26785192123,1.37400115517,1.5026753934,1.77808566264,0.00492063069723
a_subj.1mt2emp4645cbl1,2.11126728331,0.234459756661,1.70595655998,1.94571883443,2.09304799503,2.2513312923,2.63343424726,0.00560032545506
a_subj.1rst24mbtgy9rc8,1.51230766075,0.180522683152,1.19995667853,1.38392761725,1.49995360759,1.62393675717,1.90965222554,0.00458727479707
a_subj.1sala6c9yc2bm1w,2.30940140731,0.25442990726,1.8600528527,2.13297516092,2.29081949003,2.46915426694,2.86092218672,0.0051878266874
a_subj.1tcnxbt2pz7t2gx,2.23152344465,0.343826913037,1.65285326865,1.99007369671,2.19657644629,2.43526000166,3.01566282705,0.00791701682054
a_subj.23kscq1vwnlcxzt,1.48431508397,0.188625658436,1.16439810196,1.3509919048,1.46845646154,1.59732910619,1.90557957887,0.00536262897426
a_subj.2b3o5c2c6ntefnb,1.94405561618,0.242487269241,1.52443826491,1.77387986178,1.92282106571,2.09314902149,2.48131883805,0.00547565042216
a_subj.2d25j3h41jzwau7,1.16147594223,0.136095345154,0.924988951609,1.06721636097,1.151834667,1.24283201705,1.46270980497,0.00268642817714
a_subj.2me0tt0zcbe29f0,1.23166864867,0.156275952925,0.97211051793,1.12248232411,1.21563940527,1.32585449506,1.57458146487,0.00338395291056
a_subj.2v2he2qhc118cmx,1.2851992633,0.15151232113,1.02109172537,1.1761050338,1.27300333349,1.38158844355,1.6108346809,0.00311909933051
a_subj.3dgcoqbqucy4uk7,1.70706015805,0.354466893502,1.15077571389,1.44777231277,1.66476540592,1.91503667759,2.50808256044,0.0110079463193
a_subj.3zs7hr5ld5ukg0k,1.53238392176,0.134993420279,1.28440202738,1.43762043477,1.52583488806,1.62082909526,1.81204499777,0.00248476317839
a_subj.49nk7g8z2covmcs,1.90426015847,0.314717447987,1.3843893526,1.67854544196,1.86932346317,2.09345937412,2.60438937334,0.00842918848534
a_subj.4a8cd6a9bt0r6qq,1.6224225077,0.219110175447,1.22290480406,1.46937646958,1.6110406534,1.76129637739,2.08556590655,0.00407033504527
a_subj.4guce6sjz14ytvx,1.46269374067,0.169963993496,1.17021239146,1.33973618183,1.44787830996,1.56982862727,1.83419190633,0.00333946254266
a_subj.4hnv1vupt17n2g3,1.61471199699,0.191105213125,1.28695386115,1.47941662222,1.60107603217,1.73638235464,2.03931459196,0.00379877435037
a_subj.4hu9ttktex52za9,1.38707786504,0.218235563403,1.02009901128,1.2318197651,1.36496389029,1.51765432169,1.87707108048,0.00573699252655
a_subj.515hk10jmqfx9pw,1.87402146976,0.237446232995,1.47626160134,1.70645001017,1.84936639011,2.01809889956,2.41625187529,0.00538790974612
a_subj.56711s8h61wx53j,1.59608182054,0.191156307727,1.27818161243,1.45938333952,1.57686466373,1.71359653753,2.03274689432,0.0047095713525
a_subj.5b7g1xovbu5p5lg,1.32537605066,0.163544286554,1.04959470448,1.20944362918,1.30785231892,1.42233906558,1.68957959002,0.00419174122604
a_subj.5w3k3mqbvn9cpj9,1.52891746547,0.199726123158,1.18960059556,1.387664656,1.50910011954,1.65345193095,1.97165966929,0.00465270011648
a_subj.5ye5lnj117htkv2,1.85560272545,0.352317508172,1.28473497479,1.606853618,1.8099720155,2.05966523158,2.67171934791,0.0133779706284
a_subj.62vl76rkuwy4g4j,1.8294024154,0.314119300297,1.31940496667,1.60777858927,1.79113685282,2.01329893134,2.55294460499,0.00803964043319
