,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.9766237101,0.0758208370563,1.87827009172,1.94034358574,1.97285230251,2.00695040248,2.08224631361,0.00319076300965
a_std,0.620746865709,0.0968710332495,0.531554761261,0.586557454452,0.61523320781,0.647185363436,0.712617185021,0.00425381665215
a_subj.02hcv424u29nd5w,2.56693398315,0.438267054184,1.8701312241,2.25888686521,2.51733647347,2.81720934201,3.53910322745,0.0140143402473
a_subj.02k2uwlhgxnumn9,2.6965320993,0.328314761789,2.13368931933,2.46137393081,2.67160968461,2.89940887671,3.40335856778,0.0081833290515
a_subj.03g7h2hzq4o3g26,2.89664056787,0.364863605774,2.29017229622,2.63343166785,2.86643163103,3.11503095458,3.70175457383,0.00893021164619
a_subj.0nmr75cysk1ae0e,1.79485396306,0.353922575593,1.26647095689,1.54030106397,1.74888784163,1.98376226765,2.6298100322,0.012210795817
a_subj.0t8qp67pqkw36cb,1.65432523907,0.22067641266,1.29073736104,1.49449061205,1.63243026288,1.79042243521,2.14068471726,0.00579537095825
a_subj.0vfpn4uf3t031qu,1.34949865147,0.257968622796,0.928006675949,1.16384872018,1.32284415958,1.50125057897,1.93642133594,0.00979262703564
a_subj.11dsfdtym1yy5mx,2.34543962699,0.489186839201,1.54680755095,1.98675429792,2.28650306112,2.64258480383,3.44960838733,0.0181747831972
a_subj.1d3dadyu4ekqb4q,1.52513091242,0.245533274956,1.12818217312,1.34403479214,1.50101954005,1.67248101809,2.07933076837,0.0075778351565
a_subj.1mt2emp4645cbl1,1.67896585702,0.234492109264,1.29274233456,1.51007534888,1.65767433851,1.82123628824,2.19243106464,0.00522608838493
a_subj.1rst24mbtgy9rc8,1.60537081662,0.207869216614,1.24425477545,1.45642450583,1.58825679412,1.73666126897,2.06447241051,0.0048946980631
a_subj.1sala6c9yc2bm1w,2.50858967086,0.33205438607,1.93151696866,2.27441076953,2.48205750422,2.71070762364,3.23831369902,0.00656442219124
a_subj.1tcnxbt2pz7t2gx,1.94134087955,0.318406227744,1.4278324568,1.71200858011,1.90405991231,2.13751149147,2.65139735945,0.00881885489233
a_subj.23kscq1vwnlcxzt,2.12109391487,0.505606532534,1.332509802,1.75646887254,2.05637005599,2.41293811128,3.28001175198,0.0214720702225
a_subj.2b3o5c2c6ntefnb,1.76460741391,0.259389771141,1.33696543771,1.57923831863,1.73793300808,1.91864336611,2.34490668742,0.00557959064563
a_subj.2d25j3h41jzwau7,1.96336730202,0.471159169849,1.18621172549,1.61815821265,1.9195066134,2.25753350325,2.97824840369,0.0219430072004
a_subj.2me0tt0zcbe29f0,1.95669812131,0.48711752927,1.26944305308,1.61632716356,1.88360659323,2.20866710916,3.05297386559,0.0212752907811
a_subj.2v2he2qhc118cmx,1.96310734732,0.498423099727,1.18382640949,1.60801480925,1.89555414861,2.2476450059,3.12741778293,0.0221206518978
a_subj.3dgcoqbqucy4uk7,2.05367016648,0.28648318931,1.56796806353,1.85353411859,2.02672160367,2.22942647682,2.68219886951,0.00668469559386
a_subj.3zs7hr5ld5ukg0k,1.40483576142,0.137026544437,1.14984929943,1.31240705703,1.39837673912,1.49012617203,1.69167913508,0.0024116135109
a_subj.49nk7g8z2covmcs,1.6637844887,0.468955057964,0.981517483445,1.33014263499,1.58140100649,1.91417742742,2.8156367306,0.0233632549981
a_subj.4a8cd6a9bt0r6qq,1.47456456807,0.129506180543,1.23319092691,1.38416525801,1.46892147633,1.5587441177,1.74129047933,0.00207841807887
