,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.09960611923,0.303749063041,1.95238452037,2.03696398216,2.08455000909,2.13278053046,2.24311865454,0.0143294718652
a_std,0.788362124099,0.453718473006,0.651088895358,0.723111788126,0.766688858692,0.81141633236,0.911788686985,0.0204357874364
a_subj.02hcv424u29nd5w,2.86072855703,0.552615206813,1.98006181697,2.45691571138,2.80035567327,3.18303992827,4.1050787885,0.0165442879825
a_subj.02k2uwlhgxnumn9,1.96353111667,0.591101628951,1.11186009876,1.51842959074,1.86990784365,2.27329921715,3.42887162309,0.0279687438235
a_subj.03g7h2hzq4o3g26,3.70577549387,0.641966272577,2.69464280104,3.25814792095,3.6276437335,4.06783662214,5.18004726356,0.0207760931683
a_subj.0nmr75cysk1ae0e,2.49627141954,0.639105483112,1.56884848873,2.05425753886,2.39075244131,2.83062874762,4.05770460858,0.0260263667791
a_subj.0t8qp67pqkw36cb,2.29534683817,0.530358764091,1.49987663051,1.91091530268,2.21687408575,2.59271857407,3.52702315844,0.0198581778893
a_subj.0vfpn4uf3t031qu,1.44802532939,0.278535515325,1.00025885547,1.2425221479,1.41484641225,1.61743706003,2.07128098532,0.00777796123675
a_subj.11dsfdtym1yy5mx,2.59013777704,0.694653204875,1.48298978328,2.08260404002,2.50819746951,3.01581955538,4.18816596604,0.0324731851954
a_subj.1d3dadyu4ekqb4q,3.04859129332,0.74402240815,1.83118650841,2.50147105468,2.9663203283,3.4959619139,4.72171621253,0.0367835610751
a_subj.1mt2emp4645cbl1,3.12753337237,0.588343063289,2.20990533394,2.71038821707,3.05354978788,3.46444118153,4.45536169166,0.0156584584933
a_subj.1rst24mbtgy9rc8,1.67508384381,0.243246887528,1.26810028888,1.50562705422,1.64714667786,1.81365048102,2.23850289217,0.00593929795934
a_subj.1sala6c9yc2bm1w,2.24978972915,0.289431182168,1.75626077208,2.04339110369,2.22350753229,2.43296547971,2.87317777828,0.00692519249777
a_subj.1tcnxbt2pz7t2gx,2.03924059082,0.405769066572,1.43545279924,1.75085329055,1.98259954639,2.24637652169,2.98346004617,0.0138401283637
a_subj.23kscq1vwnlcxzt,1.33429401611,0.264338916741,0.925017575166,1.14173063516,1.29814247968,1.47978293082,1.95295369833,0.00975106322366
a_subj.2b3o5c2c6ntefnb,2.17028890624,0.670602133055,1.21596956803,1.67856532967,2.05866296552,2.52518098556,3.89111775418,0.0357035322743
a_subj.2d25j3h41jzwau7,1.7862931133,0.56051869653,0.956609144296,1.37441778673,1.70101386674,2.07902474229,3.22462763257,0.0348033994554
a_subj.2me0tt0zcbe29f0,2.08618248951,0.464368871336,1.37719669041,1.75678687555,2.01381034383,2.33829272506,3.16640357848,0.0169560374989
a_subj.2v2he2qhc118cmx,1.62467307896,0.292923696897,1.14871453666,1.41519458607,1.58735505215,1.79691693205,2.29878428349,0.00930740182421
a_subj.3dgcoqbqucy4uk7,1.82428212649,0.523233377018,1.05540801211,1.43337101771,1.74071367087,2.14454224144,3.05463715893,0.0234391822758
a_subj.3zs7hr5ld5ukg0k,1.52578688016,0.182728364033,1.2083671352,1.39610347814,1.51398323072,1.64174380779,1.92296007591,0.00326327533097
a_subj.49nk7g8z2covmcs,2.12447691621,0.637435378551,1.2351449281,1.6629338322,1.99513441698,2.45798639938,3.62586768483,0.0325142769795
a_subj.4a8cd6a9bt0r6qq,2.06073690781,0.300948961583,1.56867632838,1.847750792,2.02814553229,2.23443945474,2.75702563039,0.00835807633677
a_subj.4guce6sjz14ytvx,1.90339523237,0.291556914213,1.41860725654,1.68995369493,1.87672450918,2.09542071706,2.52618855417,0.00642732953472
a_subj.4hnv1vupt17n2g3,2.57760923277,0.691137250559,1.58011112729,2.11170499254,2.46077150699,2.90896628203,4.2824984262,0.0284490010925
a_subj.4hu9ttktex52za9,2.0143971228,0.587340098965,1.11494703307,1.58803461279,1.92547653117,2.34632162644,3.40660742518,0.026185416938
a_subj.515hk10jmqfx9pw,1.95480370982,0.311662203198,1.43091915132,1.73376864155,1.92098494012,2.13346764706,2.66144715377,0.00830790107498
a_subj.56711s8h61wx53j,1.96130189973,0.53022328493,1.21128324919,1.60235693083,1.88394268539,2.21727832833,3.12010926947,0.023153727707
a_subj.5b7g1xovbu5p5lg,1.83291465268,0.573692710438,0.972667960457,1.41455038925,1.73603083268,2.15448581806,3.18460312997,0.030369046127
a_subj.5w3k3mqbvn9cpj9,2.48962778969,0.615837272314,1.5479844916,2.0595540432,2.4030276277,2.80474005783,3.97777056503,0.0241793777577
a_subj.5ye5lnj117htkv2,1.36742797129,0.263518783468,0.945124717415,1.17976106653,1.34183527081,1.5198953153,1.95986612894,0.0073161911175
a_subj.62vl76rkuwy4g4j,2.8327782917,0.692352024939,1.66844300022,2.34386885255,2.77021840635,3.24297068933,4.40895821315,0.0318976293506
