,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.74399291592,0.63705809612,1.65747797521,1.70084730303,1.724195387,1.75016225771,1.79916267548,0.0187690204978
a_std,0.503224539931,0.931942346874,0.416857218947,0.452887450228,0.472619341285,0.49324649543,0.538728049135,0.0292887609288
a_subj.02hcv424u29nd5w,1.82001586901,0.237478741801,1.42971339723,1.65865842724,1.79255096387,1.95607108335,2.36036748921,0.0060172599646
a_subj.02k2uwlhgxnumn9,2.11753932078,0.273262515874,1.64530050763,1.92161415384,2.0930678381,2.29247924451,2.69860861214,0.00654096890204
a_subj.03g7h2hzq4o3g26,1.81292450173,0.203560558764,1.46322890457,1.667119798,1.80054575269,1.94133266245,2.25239342904,0.00470101464505
a_subj.0nmr75cysk1ae0e,1.7892696153,0.351992803979,1.26209717413,1.55693487448,1.74312931983,1.9673137677,2.55794901839,0.0137452401152
a_subj.0t8qp67pqkw36cb,1.65637085883,0.220990230122,1.27303873281,1.49682846657,1.64177827434,1.79662220515,2.13431219499,0.00521525004642
a_subj.0vfpn4uf3t031qu,1.20050392766,0.141242827109,0.962007831198,1.10000568847,1.18753003859,1.28907821989,1.51294853637,0.00289348662337
a_subj.11dsfdtym1yy5mx,1.75384581323,0.205507749806,1.39966484693,1.60750685514,1.7350817858,1.87767368872,2.21374794247,0.00496979090532
a_subj.1d3dadyu4ekqb4q,1.6832256579,0.258495247912,1.27191059266,1.50359142908,1.66070957729,1.82973268523,2.24649217679,0.00824715513805
a_subj.1mt2emp4645cbl1,2.02123227749,0.226344897064,1.63942416281,1.86489541155,2.0016486368,2.15880157355,2.51231161091,0.00513114712654
a_subj.1rst24mbtgy9rc8,1.73429530716,0.202698197062,1.3883345808,1.5914752584,1.71285174006,1.85836245222,2.181151693,0.00499174157553
a_subj.1sala6c9yc2bm1w,1.83709107822,0.274634047652,1.3854845145,1.6413737328,1.81138631889,2.0002269507,2.46281582089,0.0083913282261
a_subj.1tcnxbt2pz7t2gx,2.19306485815,0.265452350195,1.73589212726,2.00431366115,2.17411007342,2.35577100756,2.77183691546,0.00596696156195
a_subj.23kscq1vwnlcxzt,1.37423320682,0.203972113695,1.03534503202,1.23012782039,1.35084714507,1.49678011349,1.8366183481,0.00590468638518
a_subj.2b3o5c2c6ntefnb,1.89789431013,0.232646970367,1.49943675381,1.73698406532,1.87999719874,2.03666780385,2.3931077273,0.00477015035997
a_subj.2d25j3h41jzwau7,1.05115967637,0.14397968871,0.807166800605,0.949103237077,1.03828297323,1.13759053455,1.37679994185,0.00317226413528
a_subj.2me0tt0zcbe29f0,1.19007712791,0.139590143289,0.951060074653,1.09181825546,1.17880732965,1.27462008261,1.50345033144,0.00320087202975
