,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.54545824571,0.0336227209576,1.48048164537,1.52247187854,1.54545255606,1.56822633258,1.61225128597,0.0013088676469
a_std,0.398040061547,0.030206578723,0.343305162548,0.376927693369,0.39668252651,0.418288169389,0.459126879475,0.00141486185848
a_subj.09coqg8hlpux6fe,1.11162361207,0.193458064201,0.792396448549,0.972402287193,1.09549218983,1.23137037085,1.53540276825,0.00504493608288
a_subj.0b3t2skj9mlhbkn,1.35360211568,0.213450552945,0.991040244259,1.20272293933,1.3327916986,1.48417678441,1.82426036566,0.00497772646026
a_subj.0bcg7mtj2n1jjw9,2.53081720394,0.377010739009,1.88576114284,2.26248717143,2.50250310582,2.76344276331,3.36741321843,0.00934361565761
a_subj.0s53r30oouek89b,1.87462176577,0.294011291231,1.38285515996,1.66530503428,1.84921888155,2.05325437779,2.52891595597,0.00675307944718
a_subj.0uj9gbhag3o1w1v,1.29540574009,0.258171699492,0.885869228231,1.10763334263,1.27026481234,1.44455767117,1.89702952795,0.00724774663111
a_subj.17nzn4k8r1qkmrn,1.68400527341,0.243716437303,1.26632976541,1.50978613867,1.66127664039,1.83838912734,2.20879529131,0.00513993930941
a_subj.1fdkw2qjx3hc3lk,1.36240147656,0.23175122557,0.979793359873,1.19634304882,1.33606988606,1.50738122561,1.87990469658,0.00536006672226
a_subj.1mla0dmotqefnav,1.70873721557,0.333982539236,1.14803921714,1.47289702366,1.68084482276,1.90590492748,2.47086089029,0.0101108029909
a_subj.23hr9tl84h3zhw3,1.62719867831,0.306136439233,1.10637524583,1.41018556397,1.60256142075,1.81161224942,2.29670100177,0.0080528200162
a_subj.27muqwvalwne26r,1.82783892453,0.227716834538,1.4225166982,1.66492280958,1.80724154165,1.97333662529,2.31782239153,0.00445236223262
a_subj.2ezp7sand7hhv5p,1.67251753936,0.24050846114,1.26351786098,1.50154556446,1.65567087457,1.82235152363,2.20554605481,0.00430031345298
a_subj.2hweeb0gsvpz8nu,1.38221519488,0.230994312168,0.984586433734,1.21844488764,1.36042355105,1.52791298398,1.8903645551,0.00581769267105
a_subj.2y4c9mgda9gwqjf,1.73299452667,0.232050392207,1.35277458673,1.57041085929,1.71026300142,1.87225351981,2.25327069612,0.00493775552033
a_subj.2yuxqll0sl7g5le,1.57340014884,0.224929057242,1.1723415511,1.41335334711,1.55978194684,1.71371461207,2.05485239646,0.00451711877502
a_subj.31537m86qwe4ba7,1.60388298034,0.254511724549,1.17526810875,1.41815994305,1.58030996446,1.76260430855,2.1621628723,0.00527152379801
a_subj.31kpe18pm9gflbd,1.17214890535,0.228440895747,0.814848067609,1.00634418998,1.14425869,1.30350095277,1.69855292125,0.00632899552199
a_subj.340ypb5pzmmwcaj,1.46883222432,0.251280788231,1.04754947147,1.2876696191,1.44442728433,1.62113877276,2.03292770431,0.00586985982477
a_subj.35tbwkls6hgjow3,1.73267789332,0.250986585694,1.30117975442,1.54912471227,1.71115618152,1.89336704826,2.28178127765,0.00547073159871
a_subj.37x2xp6l8majuvs,1.28068494803,0.206403319215,0.935231322498,1.13467794341,1.26411994672,1.40667468329,1.73145650495,0.00399162499082
a_subj.3ms8rt1dzdr8a9s,1.2280095071,0.214107235209,0.874654938921,1.0686560897,1.20694996981,1.36396295306,1.6941169634,0.00565465363627
a_subj.3usdftrcysly2q1,1.02929860767,0.197888349172,0.709765292707,0.889919013259,1.00427614055,1.14369927853,1.48730916965,0.00524385865787
a_subj.3vk11201bcgwkw4,1.68362602095,0.31233607022,1.17019073903,1.46086353625,1.65016166903,1.87454791601,2.37320730101,0.00828075815466
a_subj.418wug19fyzmrlz,1.45683297365,0.219022797626,1.08733245068,1.30066680303,1.44089748127,1.59307734442,1.94062407698,0.00466437158439
a_subj.42lg712asd61fzg,1.71000493872,0.234442104207,1.30855303921,1.54195648562,1.69445721031,1.85752520245,2.21502954709,0.00492159564631
a_subj.4c7t9jba047f931,1.95828589828,0.384622889691,1.33588988497,1.68257547858,1.91634559226,2.18290239473,2.84707155019,0.0100866148236
a_subj.4h9vwjfcoxqkybo,1.14198465464,0.182717205634,0.832280321596,1.01249919391,1.12411249696,1.25445905554,1.55425843268,0.00423013053489
a_subj.4hgt4tgx9aabqvf,1.96201024888,0.27804467266,1.48707331012,1.76569931401,1.94155084053,2.1368395318,2.56172909072,0.00597051132203
a_subj.4l3c68axkhe1axs,1.56880524257,0.276922486253,1.11655351423,1.36818611431,1.53671560414,1.73643998129,2.18880012229,0.00732830301812
a_subj.4vkb7kxc6e013oq,1.44158809748,0.217230610732,1.0730217686,1.28450486291,1.42223119372,1.5796025755,1.92567923467,0.00507917353378
a_subj.4w2zk0wv03j7ax1,1.87342207573,0.303382951099,1.35377769781,1.65484547927,1.84717554687,2.06325253993,2.55204776718,0.00769645687549
a_subj.57ts7hhud4vv720,1.61992246951,0.246095302153,1.213459356,1.44505447849,1.59794875965,1.77264426994,2.16701825329,0.00577222852318
a_subj.5c52f7r6fclqhfc,1.53654430507,0.20113389554,1.19002929479,1.39422054867,1.5220807105,1.66398133386,1.96929355391,0.00385835126674
a_subj.5f0rsrfysjm1gu6,1.22796267309,0.211652271004,0.883028257062,1.07847954426,1.20278358741,1.35094932678,1.70599463276,0.00555143542726
a_subj.5hntdz656nznhyv,1.48659031016,0.318871064814,0.953742430116,1.25452859415,1.45897203202,1.68297701173,2.18618880474,0.00982889732992
a_subj.5r1w9km26bv82ud,1.99174798929,0.250070478101,1.55380320469,1.81433069796,1.9803733047,2.14935991761,2.53738099014,0.00530555293049
a_subj.67oces60kmr7wdf,1.38584357064,0.211243776668,1.02856615202,1.23710664303,1.36261441815,1.51334871175,1.85302409557,0.00473656798199
a_subj.6acf9km96sgqj20,1.43934948567,0.215983488852,1.06899357497,1.28322618984,1.42165387268,1.57817341951,1.90249015714,0.00480805024559
a_subj.6d6jzawq7n6mvq5,1.00113607679,0.175938082606,0.716469339576,0.873108264433,0.979254588332,1.10933863699,1.39571990498,0.00419071276516
a_subj.6eehqy90j1oyr5w,1.52904480994,0.248268929228,1.10014098181,1.35145515031,1.51063302376,1.68209874998,2.09009556417,0.00584784497187
a_subj.6r6yy6dfgp39qe5,1.24172699621,0.237002732103,0.84891312786,1.06834043196,1.2200196561,1.39034960351,1.75841020788,0.00692591001281
a_subj.6ta3a3nakplz21e,1.67337225594,0.309234318454,1.15827267462,1.45168865456,1.64522418864,1.86212961826,2.35966799108,0.00781046571978
a_subj.6tfnllyl7n9z0nn,1.96733869543,0.348369204346,1.38824213183,1.70995597844,1.93610957611,2.18453219054,2.72188776908,0.0093512489633
a_subj.6yej9ue6d4bbrkr,1.72305506053,0.25391880515,1.29228237908,1.54103535234,1.6984557135,1.87828853069,2.27005756872,0.00559353539113
a_subj.7fl2k09xll7cjbf,1.21335631808,0.206829835213,0.868451489546,1.06798819657,1.19375233884,1.33643423592,1.68297270028,0.00540282220611
a_subj.7lbz476vrd6q1xl,1.19766134042,0.189834398511,0.875381102264,1.06174714752,1.18356416432,1.31761613737,1.60902395179,0.00454927728833
a_subj.7ne61l6c2mfotnr,1.04112051152,0.207096746221,0.703950175388,0.891585425508,1.01767422632,1.16631407678,1.51277868853,0.00642273403409
a_subj.7nx72xp75l4argm,1.23245115731,0.234842440896,0.852084943784,1.06270148459,1.21164957152,1.37493169105,1.75652412674,0.00688785127085
a_subj.7pd0uut7knxn84d,1.46167712614,0.207301012969,1.10684095018,1.31638881687,1.44083825341,1.58999416377,1.92030552717,0.00426705619178
a_subj.7u0pkulr5ec68am,1.3605422869,0.214208795476,0.996751319015,1.21007396181,1.33849280356,1.48998076396,1.83877943007,0.00477334296121
a_subj.7ynpv8c34psnjr1,1.3637842807,0.21802911716,0.997330477179,1.21247015097,1.34388057854,1.49792679339,1.83633129753,0.00432527455699
a_subj.800x0aakfavd5yt,1.21092170194,0.207672171227,0.867121523839,1.06482555331,1.19211173155,1.33706881283,1.66641260247,0.00448067877057
a_subj.8a2tpra1tdjaq2z,1.56963857745,0.228367287974,1.17213565074,1.40864025189,1.54977966546,1.71501347602,2.07103452336,0.00453937526648
a_subj.8bwea2uj0afhoc4,1.61503932116,0.242317439397,1.20473064016,1.44040348589,1.5934016583,1.76465481635,2.14274882589,0.00515954523783
