,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.56543830429,0.0351515352846,1.49600387411,1.54233480972,1.56527813171,1.58906483595,1.63457416128,0.00124097994909
a_std,0.403411045144,0.0318035614819,0.342025171373,0.382187784107,0.402276152015,0.424495113247,0.466952897966,0.00127918001018
a_subj.09coqg8hlpux6fe,1.51004649017,0.218346667524,1.12507894068,1.36004329087,1.4922869575,1.64574903556,1.97972867079,0.00458628138098
a_subj.0b3t2skj9mlhbkn,1.43841719259,0.250318173497,1.02557932972,1.25935116157,1.41352497894,1.5915452594,2.00629267168,0.00597222134131
a_subj.0bcg7mtj2n1jjw9,2.6398254299,0.370852518462,2.01335220853,2.37429741289,2.60954879938,2.86434725178,3.45177150079,0.00814300451754
a_subj.0s53r30oouek89b,2.09396142622,0.376113616091,1.47022026178,1.8271089296,2.05602715292,2.32559748538,2.92723973511,0.00925523678541
a_subj.0uj9gbhag3o1w1v,1.9392125401,0.355096993203,1.35559962354,1.68237265937,1.90794307049,2.14822470633,2.73465923463,0.00919356688587
a_subj.17nzn4k8r1qkmrn,1.5536521252,0.2427944659,1.13906075756,1.38365161129,1.5333354018,1.70159459395,2.07347125177,0.00477069212965
a_subj.1fdkw2qjx3hc3lk,1.39928098452,0.199246105199,1.05378038096,1.2588046821,1.38392860933,1.52571785657,1.82684058375,0.00456480339096
a_subj.1mla0dmotqefnav,1.40714019029,0.252666763579,0.993336146034,1.22343816917,1.38060679797,1.56309678923,1.98057375219,0.00632064859786
a_subj.23hr9tl84h3zhw3,1.58039702916,0.318591764935,1.07047940212,1.34772788382,1.54625897154,1.77703102942,2.2830249757,0.00821794898609
a_subj.27muqwvalwne26r,1.78554339085,0.302573326757,1.27573118537,1.57115443871,1.75338704661,1.96732018812,2.47507504339,0.00785724307711
a_subj.2ezp7sand7hhv5p,1.61701911983,0.206876733921,1.25290572372,1.47360854437,1.59978244889,1.74722729393,2.07228291233,0.0045330924694
a_subj.2hweeb0gsvpz8nu,1.19601920761,0.185078292658,0.873707793672,1.06097329022,1.18105962381,1.31429183111,1.60123101165,0.00418688358056
a_subj.2y4c9mgda9gwqjf,2.0519015826,0.360960068906,1.44552854397,1.7974158909,2.01257837895,2.27125688865,2.86252687469,0.00859650690656
a_subj.2yuxqll0sl7g5le,1.44671815232,0.212605058376,1.0885065448,1.29342563516,1.42992853006,1.57524257583,1.90867790108,0.00501933136261
a_subj.31537m86qwe4ba7,1.35734927987,0.24787408875,0.94406256918,1.18156522283,1.33400169846,1.50797019289,1.92541041205,0.00626735477243
a_subj.31kpe18pm9gflbd,1.42390997446,0.216418045858,1.05314731279,1.26901263249,1.40629627929,1.56060739308,1.88955339207,0.00456814004983
a_subj.340ypb5pzmmwcaj,1.16740886486,0.240741455997,0.770472197862,0.997765151881,1.13842077444,1.3051430211,1.73040472862,0.00732469817977
a_subj.35tbwkls6hgjow3,2.34645653099,0.266067273026,1.88881514144,2.1565582123,2.32412394326,2.51165411591,2.92518448452,0.00495081893682
a_subj.37x2xp6l8majuvs,1.11544582571,0.208220833921,0.781452863284,0.965967289133,1.09247798658,1.23783456068,1.59311879271,0.00521481261831
a_subj.3ms8rt1dzdr8a9s,1.40909360435,0.295356763623,0.916540562822,1.19601346935,1.38657705311,1.59259598181,2.04809358657,0.00932823128207
a_subj.3usdftrcysly2q1,1.3723559594,0.23702659359,0.962133253472,1.20062080322,1.35417692901,1.52188286131,1.89158543155,0.00550065209095
a_subj.3vk11201bcgwkw4,1.97196931407,0.3223237748,1.43547645461,1.74133725498,1.94228812365,2.17369531975,2.68777676164,0.00751948826607
a_subj.418wug19fyzmrlz,1.45434962642,0.247765728913,1.04045789291,1.27829148722,1.42594452859,1.60790017276,2.00972835212,0.00602100540382
a_subj.42lg712asd61fzg,1.77753048976,0.178593801086,1.46033803159,1.65292875622,1.76805968524,1.88928109676,2.16123514745,0.00315405553211
a_subj.4c7t9jba047f931,1.96559650474,0.274751995479,1.50123968148,1.77238052445,1.93666335178,2.13396196748,2.56492212645,0.00556571831992
a_subj.4h9vwjfcoxqkybo,1.74869387585,0.317655286144,1.21522606219,1.52045898556,1.71992423224,1.94611436005,2.45215239321,0.00787080396083
a_subj.4hgt4tgx9aabqvf,1.58464268527,0.234928500145,1.18638405934,1.41318382445,1.56738271116,1.73136405091,2.08857246047,0.00461537481853
a_subj.4l3c68axkhe1axs,1.67293695493,0.349445802729,1.10992529848,1.41945073061,1.62844277168,1.87945207123,2.46188132007,0.0101354077428
a_subj.4vkb7kxc6e013oq,1.4663796218,0.220561317435,1.09162267616,1.30655274797,1.44769302619,1.60750332674,1.94757983915,0.00452291520257
a_subj.4w2zk0wv03j7ax1,1.58461699941,0.233943642775,1.18980805951,1.41882084599,1.56819187499,1.729406661,2.09580943874,0.00539339899152
a_subj.57ts7hhud4vv720,1.53151058787,0.246768378396,1.11898027983,1.35221122323,1.5058131033,1.68304512664,2.08998185657,0.00566313478076
a_subj.5c52f7r6fclqhfc,1.64125383491,0.212170208083,1.27751765358,1.49008140288,1.62077072216,1.77766047063,2.1053245012,0.00476792209768
a_subj.5f0rsrfysjm1gu6,2.06065051352,0.330038577159,1.51466693088,1.82724947905,2.02647022325,2.26759927368,2.7964842884,0.00810667798057
a_subj.5hntdz656nznhyv,2.06722716838,0.30626160227,1.54703753773,1.84947387422,2.04022098939,2.25709135968,2.71743473439,0.00725019674912
a_subj.5r1w9km26bv82ud,1.78616894682,0.306232068156,1.28792969911,1.56509647775,1.75542796456,1.97467443835,2.48014564208,0.00740183067569
a_subj.67oces60kmr7wdf,1.63843912374,0.237200997084,1.24185314195,1.46691262705,1.61480689865,1.78149948343,2.16042389028,0.00473319869317
a_subj.6acf9km96sgqj20,1.39511825091,0.20719237621,1.04771493275,1.2452849755,1.37685032622,1.52413621154,1.84750357653,0.00426732011357
a_subj.6d6jzawq7n6mvq5,1.20080884433,0.190156598294,0.879028598171,1.06707679267,1.18629224165,1.31787660637,1.62072316918,0.00406691902715
a_subj.6eehqy90j1oyr5w,1.50855686523,0.223918869669,1.11804382342,1.34843801424,1.48856553909,1.65091837643,2.00220252507,0.00507580272697
a_subj.6r6yy6dfgp39qe5,1.30470902567,0.223473406165,0.94084113368,1.14257586141,1.28065383949,1.43761819805,1.81807599482,0.00546196729689
a_subj.6ta3a3nakplz21e,1.78298914352,0.310158816412,1.26934219704,1.56209558992,1.75529234826,1.97103054256,2.48217602148,0.00839455386958
a_subj.6tfnllyl7n9z0nn,1.95239560197,0.299922061099,1.45507939067,1.74048509404,1.92043254407,2.13135505668,2.6257917062,0.007687164645
a_subj.6yej9ue6d4bbrkr,1.46874133812,0.225015358919,1.07280091063,1.31345894201,1.45246976104,1.60623923337,1.95584992007,0.00470707531193
a_subj.7fl2k09xll7cjbf,1.22977837702,0.259878239927,0.802886073523,1.04601863249,1.20153836032,1.38219281985,1.8129992346,0.00789177739839
a_subj.7lbz476vrd6q1xl,1.1831900316,0.225377713816,0.809314682398,1.01982765376,1.1604237433,1.32139488474,1.67373248549,0.00612995407131
a_subj.7ne61l6c2mfotnr,1.3332778418,0.268847259108,0.902520884998,1.13781683138,1.30082981832,1.49101370552,1.94248009117,0.00751747811453
a_subj.7nx72xp75l4argm,1.24770887029,0.203396165205,0.903442198082,1.10027892203,1.22913675032,1.37246571616,1.70522886737,0.00468150650767
a_subj.7pd0uut7knxn84d,1.25709867266,0.188257038441,0.941622905785,1.12484731162,1.23855689262,1.37623067784,1.67474659878,0.004568863185
a_subj.7u0pkulr5ec68am,1.47505462897,0.229990195803,1.07995715948,1.31581229793,1.45673314609,1.60929149917,1.98074047237,0.00523996564236
a_subj.7ynpv8c34psnjr1,1.17443281732,0.210039634232,0.838374571642,1.02248407417,1.15515379733,1.29615105322,1.66144402408,0.00559426437645
a_subj.800x0aakfavd5yt,1.63259321241,0.29589716006,1.14018544545,1.42234183859,1.60570230916,1.8048064415,2.30572685543,0.00761375977183
a_subj.8a2tpra1tdjaq2z,1.25893322847,0.256758071482,0.843388888171,1.07097454435,1.23027704239,1.4126702851,1.84545037412,0.00704174394981
a_subj.8bwea2uj0afhoc4,1.67061592078,0.253836540648,1.24215487871,1.48969573317,1.64162729149,1.82848534737,2.23461112932,0.00524785083599
a_subj.8lau41cww21elfy,1.37071003843,0.221640416669,0.981859065835,1.21445093145,1.35623652739,1.50874718415,1.85133350078,0.00530274720031
a_subj.8y74fx63nez2m7j,1.47127371727,0.236047166906,1.07676400866,1.30453131088,1.45092040884,1.61729247907,1.99746248479,0.0060637344002
a_subj.9d2kogp4rryrtk4,1.13128786336,0.188788037274,0.813762929406,1.00062694101,1.11049531345,1.25033295043,1.5551964471,0.00445841383247
a_subj.9mvgxtx98b0vkyf,1.59721411156,0.247710139173,1.18443252818,1.42240934194,1.57245967546,1.74340049917,2.16153104734,0.0052205535234
a_subj.9nsyny7uuany7rg,1.7662330348,0.34709121736,1.19659413697,1.53163626773,1.72150809514,1.96294510823,2.5490255105,0.00884864248148
a_subj.9s1z1twnj91t7lx,1.23100223757,0.309910469972,0.747245458986,1.00174032658,1.19199416703,1.41078695358,1.94247567805,0.0100717453569
a_subj.9ubzv3kztxtq4dm,1.70126915829,0.254636126265,1.26955794766,1.51879682646,1.67621794001,1.858388007,2.26014994753,0.00588377533291
