,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.5793197033,0.035180130324,1.51073282349,1.55538617519,1.57908343838,1.60254822663,1.64948908611,0.00105518082689
a_std,0.447537618992,0.0328028784296,0.38595272564,0.424879299149,0.446513818919,0.46913527357,0.514619369669,0.00132639483958
a_subj.09coqg8hlpux6fe,1.28202106656,0.304030139711,0.799053680787,1.05870932874,1.24644100548,1.47165726746,1.97761865366,0.0109083599079
a_subj.0b3t2skj9mlhbkn,1.44188113264,0.239082034345,1.04572881687,1.27022129199,1.41604619469,1.59178041316,1.98066233151,0.00544042701673
a_subj.0bcg7mtj2n1jjw9,2.45900749412,0.459719921319,1.71682777912,2.13325683276,2.40346136038,2.73190222128,3.50105937611,0.0130979776818
a_subj.0s53r30oouek89b,2.40049803894,0.45879816907,1.64461187148,2.07585829663,2.34469008292,2.68045450691,3.44018789156,0.0137187769753
a_subj.0uj9gbhag3o1w1v,1.99810378298,0.30183704525,1.48270136012,1.78544132637,1.97339448958,2.18298036262,2.64791838578,0.00617165118807
a_subj.17nzn4k8r1qkmrn,1.47289850756,0.222963434426,1.08703096662,1.31453048744,1.45568941094,1.60720465427,1.95595669462,0.00514978613764
a_subj.1fdkw2qjx3hc3lk,1.28547104515,0.238069352615,0.89151325686,1.11506649786,1.25806219945,1.43062255174,1.83002725749,0.0069890135341
a_subj.1mla0dmotqefnav,1.5569386653,0.238424024034,1.15946286554,1.39023142739,1.53055933693,1.70120050667,2.08436465295,0.00471244600423
a_subj.23hr9tl84h3zhw3,1.63424181109,0.251071606956,1.21271611749,1.45802951596,1.60301178391,1.78685200188,2.1983657822,0.00593455095806
a_subj.27muqwvalwne26r,2.33884660009,0.344032811444,1.75064400073,2.10116621645,2.30785795176,2.54146709541,3.10546817995,0.00725356802049
a_subj.2ezp7sand7hhv5p,1.86174321761,0.256659831792,1.41995468962,1.68251726931,1.84237582073,2.02070340169,2.4089069438,0.00460806864309
a_subj.2hweeb0gsvpz8nu,1.69115651479,0.297166911331,1.18029547833,1.4801684782,1.66351766534,1.868864107,2.34752605013,0.00693381709332
a_subj.2y4c9mgda9gwqjf,2.03718743282,0.36444806019,1.41906527427,1.77695486402,1.9999208161,2.26614050206,2.8440855361,0.00866852831811
a_subj.2yuxqll0sl7g5le,1.1296908059,0.192297385325,0.817821202932,0.991205729911,1.10606042854,1.23977403127,1.58256687877,0.00452264317438
a_subj.31537m86qwe4ba7,1.59815936744,0.255457679423,1.16716654395,1.41514400975,1.57396762084,1.75363152138,2.17047024379,0.00597506106947
a_subj.31kpe18pm9gflbd,1.01204897215,0.203481317306,0.699803703563,0.8683785112,0.983756943136,1.12569290788,1.48844006015,0.00560479928063
a_subj.340ypb5pzmmwcaj,1.27119181979,0.218649406732,0.91353240615,1.1139831784,1.24930013783,1.40569193076,1.75215036544,0.00534304692198
a_subj.35tbwkls6hgjow3,1.89475723769,0.254600183095,1.45397270472,1.70990016688,1.87672632167,2.05352638554,2.43311652912,0.00583112873379
a_subj.37x2xp6l8majuvs,1.45403551765,0.269264130049,1.01964260689,1.26063647256,1.41965836672,1.6146287221,2.06625131516,0.00726830399181
a_subj.3ms8rt1dzdr8a9s,1.31899434658,0.309474120127,0.838818288473,1.095607975,1.27555262162,1.4951504419,2.04164814321,0.00994720181058
a_subj.3usdftrcysly2q1,1.59602064461,0.259076025433,1.15606594769,1.41415162139,1.57488238772,1.75219907746,2.18014484107,0.00561750918369
a_subj.3vk11201bcgwkw4,1.49505851099,0.282127874942,1.04587701049,1.29587870989,1.46158090328,1.65509504438,2.14841857744,0.0082742640133
a_subj.418wug19fyzmrlz,1.67583014604,0.245589043524,1.2507660869,1.50118651741,1.65653967596,1.83053663445,2.20999143543,0.00462293729569
a_subj.42lg712asd61fzg,1.67283803035,0.178786935389,1.35803275396,1.54486655886,1.66299137278,1.78744388616,2.04639544058,0.00301121820022
a_subj.4c7t9jba047f931,2.20855955568,0.321475273864,1.66292666517,1.98336838623,2.18634983125,2.40618208526,2.91143943201,0.00736829160157
a_subj.4h9vwjfcoxqkybo,1.71479505668,0.216099464854,1.33541939382,1.56423421429,1.69477914575,1.84924575976,2.19011885327,0.00439433006864
a_subj.4hgt4tgx9aabqvf,1.69257626682,0.230774926187,1.29081582342,1.5302872814,1.67756675347,1.84019585994,2.18863532853,0.00463966817834
a_subj.4l3c68axkhe1axs,1.66376652627,0.252642191345,1.24549748832,1.48328093857,1.63788142143,1.82268741863,2.22498669443,0.00577380272143
a_subj.4vkb7kxc6e013oq,1.13084486332,0.209101556421,0.786000040254,0.983057955793,1.10796958607,1.25584989985,1.59829637021,0.00605161532887
a_subj.4w2zk0wv03j7ax1,1.88711659355,0.339917678661,1.31972287738,1.64753247623,1.85374509186,2.08962111943,2.61723190876,0.00904217028977
a_subj.57ts7hhud4vv720,1.58059374114,0.281546345239,1.12017683598,1.37862322495,1.55099066975,1.75147220735,2.21351831635,0.00753757153311
a_subj.5c52f7r6fclqhfc,1.79023681449,0.240323480889,1.38439599554,1.61861895258,1.76901463852,1.93810032318,2.32149924128,0.00457608133421
a_subj.5f0rsrfysjm1gu6,1.47539210594,0.227089728576,1.09439190077,1.31179659121,1.45651699422,1.61555478533,1.97511770988,0.00510780111942
a_subj.5hntdz656nznhyv,2.04426289852,0.325410201624,1.49020032229,1.81313720705,2.01933982751,2.24213567625,2.7579934465,0.00807186981548
a_subj.5r1w9km26bv82ud,1.58192048648,0.265959903455,1.12884858266,1.39094072828,1.5597618891,1.74165863138,2.17048879699,0.00575006736969
a_subj.67oces60kmr7wdf,1.52320344958,0.237375918703,1.12738615285,1.35639957342,1.49755482793,1.6631734086,2.06176873005,0.00563923980488
a_subj.6acf9km96sgqj20,1.60370022376,0.333710117489,1.05645996278,1.3616750842,1.57174311582,1.80517598931,2.35023623523,0.0102801676404
a_subj.6d6jzawq7n6mvq5,1.49357093708,0.230297380901,1.09416654609,1.32927149557,1.47758880601,1.63803181066,1.99965274534,0.00528601775383
a_subj.6eehqy90j1oyr5w,1.956182666,0.314378781265,1.41846294715,1.73113510954,1.92954355722,2.14679840725,2.62702423255,0.00696568690838
a_subj.6r6yy6dfgp39qe5,1.17858468749,0.197664108079,0.851324694367,1.0372121516,1.15710583971,1.29994766176,1.63713798538,0.00527918638754
a_subj.6ta3a3nakplz21e,1.27100713234,0.236843756102,0.886356218422,1.09893314235,1.24220901551,1.41339963749,1.81953253081,0.006488646088
a_subj.6tfnllyl7n9z0nn,2.2862792624,0.349276853653,1.70441043939,2.03925663201,2.24991138298,2.50145359726,3.08120046518,0.00786984223999
a_subj.6yej9ue6d4bbrkr,1.2543275239,0.239980013199,0.865451756123,1.07886748122,1.23233143679,1.39707404646,1.78104172712,0.0066014773379
a_subj.7fl2k09xll7cjbf,1.47724975565,0.267294162402,1.03424951314,1.28457448629,1.44891122544,1.6456725056,2.07980554426,0.00768270168826
a_subj.7lbz476vrd6q1xl,1.51904657163,0.213690439527,1.14004350678,1.36259169844,1.50296672329,1.65665479204,1.97319594851,0.00381547659208
a_subj.7ne61l6c2mfotnr,1.28042987348,0.217275611112,0.921216435804,1.12445917312,1.26302504582,1.4139052228,1.77657283317,0.00548168006423
a_subj.7nx72xp75l4argm,1.20554717408,0.212668327123,0.86171519163,1.05000293201,1.18207214774,1.33382184724,1.68537564666,0.00538533025167
a_subj.7pd0uut7knxn84d,1.06477845242,0.213583940028,0.715692962693,0.914467429778,1.03775662349,1.18820006573,1.56949121011,0.00611663616254
a_subj.7u0pkulr5ec68am,1.3946349614,0.227101582047,1.01936426039,1.23571437842,1.36931953539,1.52978666507,1.89778412602,0.00550550544171
a_subj.7ynpv8c34psnjr1,1.25510403584,0.23116913246,0.871350092704,1.08965109501,1.234212073,1.39346448921,1.78434823108,0.0062223123129
a_subj.800x0aakfavd5yt,1.67658325179,0.279459336043,1.19210837227,1.4789070321,1.65641797675,1.84881173372,2.27851898461,0.00623599603704
a_subj.8a2tpra1tdjaq2z,1.28982813093,0.20468305323,0.942171249083,1.14231536963,1.27143865644,1.4139558467,1.75333866875,0.00457076329439
a_subj.8bwea2uj0afhoc4,1.77165159009,0.257743780024,1.331533121,1.591629906,1.74929088948,1.9298306017,2.34275621641,0.00574680233377
a_subj.8lau41cww21elfy,1.92116317125,0.256456562692,1.47449097344,1.74039651266,1.89794728069,2.08811105893,2.47695152711,0.00491768040812
a_subj.8y74fx63nez2m7j,1.80492844929,0.287806054426,1.3156870838,1.59850784804,1.77916286923,1.98663588068,2.43110118057,0.00705043590007
a_subj.9d2kogp4rryrtk4,1.10967003922,0.231470218326,0.748369843696,0.941979081846,1.07798968833,1.25103885877,1.64035971283,0.0072858324553
a_subj.9mvgxtx98b0vkyf,1.68360957537,0.270721074131,1.22769804975,1.4962554872,1.65824569194,1.84916507483,2.27357297316,0.00582758577702
a_subj.9nsyny7uuany7rg,1.19118958111,0.196309410934,0.86877048638,1.05005158395,1.1703382096,1.30752417693,1.62779080466,0.00416367190822
a_subj.9s1z1twnj91t7lx,1.55697243907,0.267040316468,1.12089480043,1.36588636471,1.52832882332,1.71444950731,2.18302067525,0.00692291027071
a_subj.9ubzv3kztxtq4dm,1.21887487971,0.19865612598,0.886103707693,1.07754178201,1.20093556674,1.34284877962,1.66506389481,0.004731449589
a_subj.9uqu2cfty0w34cc,1.63470229717,0.25321995567,1.2096172824,1.45516021941,1.60882996652,1.78986653926,2.19250736073,0.00583539672165
a_subj.9w5hcmz196vxqsl,1.8144632747,0.248671188853,1.3842064813,1.63643135688,1.79222715579,1.97648620441,2.35490401613,0.00470401980784
a_subj.9z1464693q7y2gh,1.62120797603,0.284853009518,1.14501797334,1.41762846782,1.59577041753,1.79269030922,2.25522735618,0.0078816890361
a_subj.a8vjwlza88n8v9b,0.87345813897,0.148065616635,0.630356534423,0.765202735142,0.859863252109,0.96472111088,1.20459394718,0.00361021321392
a_subj.ab4govku8vn8qyy,1.52875077228,0.305340827709,1.04929347236,1.30583269135,1.48590383172,1.71287986441,2.23836313571,0.00860456565337
a_subj.ajvlllkcvukfuk4,1.81317324314,0.287678563796,1.32584943952,1.60726833595,1.79162234633,1.99406483615,2.4494249851,0.00738383051634
a_subj.al1qr3k2bocpl62,1.16419077795,0.212035780342,0.820637083257,1.01403612645,1.13578662963,1.29497742264,1.64910719857,0.00538193272862
a_subj.amjp90jlyotqp8g,1.79976959308,0.359693671737,1.21919098436,1.53929186134,1.75973763601,2.00869786951,2.6119880023,0.011457985008
a_subj.apbxm43vqzha5ll,1.17469660037,0.185293558344,0.85906184127,1.03830428402,1.16012936515,1.29443413494,1.57373722969,0.00348427936578
a_subj.aule4a6z1mgjop5,1.43765004353,0.233657200491,1.05799730283,1.27094413583,1.41036658152,1.57794475288,1.97550651616,0.00470582745879
a_subj.axy8mageyccp4lp,1.42243868172,0.273354326358,0.980438845483,1.22191506492,1.3949213342,1.59067672442,2.03387817897,0.00663987250007
a_subj.b16jmwnn4jhtbvf,2.42554741081,0.361350200362,1.82709475421,2.16414779055,2.39270359168,2.65932284912,3.18936615123,0.0088939174058
a_subj.b5ucus3jtvgwk8j,1.51092540205,0.222819937325,1.12758218264,1.35515847551,1.49479753974,1.64644580696,2.00418485573,0.00461676077026
a_subj.bbjugvdcmq5burg,1.51736055666,0.262591968716,1.08044574469,1.33163634132,1.4880445126,1.67845925479,2.10530543529,0.00643856161985
a_subj.bjz902x2szufg43,1.07665920287,0.208371514219,0.740986461494,0.925434064457,1.05389179855,1.20348420894,1.54398656061,0.00558712086139
a_subj.bmlp46ta94pzt5x,0.267870434127,0.109706609231,0.139400182389,0.196948814968,0.245389565488,0.307100269332,0.534068894585,0.00602881340447
a_subj.bnk23r6ye2uhm23,1.36385145889,0.254854721737,0.949738938553,1.17843890174,1.33867509274,1.51867640036,1.91964275656,0.00581483007432
a_subj.bqbeqo54qk2pqtm,1.67614978591,0.268922950571,1.2295914148,1.48443789836,1.6474708735,1.84431565029,2.25968992358,0.00646388122943
a_subj.bqqulny2mjnp5ph,1.1537690899,0.222207278783,0.795432622031,0.996710970984,1.12428331921,1.28593663912,1.65636912274,0.00611737788224
a_subj.bsfokoumbg75uwq,1.37051113174,0.213569450028,1.00587242089,1.21615713221,1.3546231384,1.50355526448,1.83180229714,0.00441825796682
a_subj.buqm38thbsvmvk3,1.52187711006,0.280319856614,1.06692642178,1.32077319897,1.49472967831,1.68336712848,2.15654142298,0.00792208436204
a_subj.bz0g64q264z73lb,1.40081488892,0.210982376577,1.04637965475,1.2495928315,1.38430162355,1.53011886326,1.87832020159,0.00427478910576
a_subj.c1z6gr1j2urlwdd,1.4026360065,0.250922517937,0.991975095981,1.22278029564,1.37832246103,1.54999829185,1.95841935843,0.00597860858851
a_subj.c466hjyzou3hhjr,1.64356686241,0.258383172984,1.20134025839,1.45990414457,1.6210681353,1.80476792454,2.1981794093,0.00486567535952
a_subj.c7w7d3mxu46c4hs,1.24070252217,0.211324312099,0.895165237621,1.08737235981,1.2171176769,1.36650342482,1.72001814047,0.00576071304641
a_subj.cbkbhu74w5vsnk8,1.39703444567,0.236175223146,1.00965201032,1.22719699659,1.3747296472,1.54281817914,1.92145416271,0.00630859517071
a_subj.cjlsspj0zh8g9fx,1.73132884879,0.333974808463,1.18095721421,1.489588351,1.69760819222,1.93709391708,2.46960868629,0.0102655887208
a_subj.cnlwumnshlcv290,1.3898013923,0.22623568684,1.01624191952,1.23025554753,1.36335781042,1.52787519968,1.88397533153,0.0057087649827
