,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.53677739697,0.0305050226584,1.47865270556,1.51594055848,1.53588269183,1.55723610903,1.59930933603,0.000808893345479
a_std,0.39287251667,0.0298134464649,0.339973135166,0.371709939937,0.3915769633,0.412660405122,0.454685175676,0.00108512166639
a_subj.09coqg8hlpux6fe,1.05021537593,0.232168537043,0.679611934454,0.877586834724,1.02494972156,1.18925700711,1.5888236892,0.00706230717114
a_subj.0b3t2skj9mlhbkn,1.50301536534,0.219304794703,1.12511396826,1.34596747579,1.48479871765,1.63533404569,1.98923689345,0.00556888017632
a_subj.0bcg7mtj2n1jjw9,2.25090666129,0.341456972872,1.68269992679,2.00338469744,2.21957127343,2.4739005305,2.99390384456,0.00926316284544
a_subj.0s53r30oouek89b,2.08064184559,0.327975868049,1.52639644783,1.8458857225,2.04506372354,2.27998080757,2.81686741786,0.00936337768438
a_subj.0uj9gbhag3o1w1v,1.55777430965,0.235934119581,1.16094925329,1.39048560395,1.53480344885,1.70288245271,2.08629332096,0.00540014075086
a_subj.17nzn4k8r1qkmrn,1.41624018255,0.216747188848,1.05311475437,1.25981602888,1.39641447509,1.55112747363,1.88231102728,0.00533185151354
a_subj.1fdkw2qjx3hc3lk,1.58694125682,0.22950442952,1.19235974991,1.42480861114,1.56548982053,1.72994384686,2.09253784924,0.00502125776406
a_subj.1mla0dmotqefnav,1.68667289807,0.221130280914,1.3034834536,1.53257589401,1.66756425242,1.82493033198,2.18086487347,0.00400142010138
a_subj.23hr9tl84h3zhw3,1.88662206555,0.246880225248,1.46265375514,1.71241480384,1.86523081604,2.04560098593,2.42312473367,0.00601569147484
a_subj.27muqwvalwne26r,1.96323217519,0.283988855071,1.47735972749,1.76040322034,1.9412360236,2.13421116106,2.57690142643,0.00618973511951
a_subj.2ezp7sand7hhv5p,1.52887150638,0.215485437059,1.15183803382,1.37710054577,1.51249701607,1.66234057319,1.98036573374,0.00441659931715
a_subj.2hweeb0gsvpz8nu,1.3087852607,0.198457220735,0.978936926683,1.16894508457,1.28859172892,1.42642572644,1.75718739981,0.0047973220495
a_subj.2y4c9mgda9gwqjf,1.94709985423,0.355970012641,1.38006010937,1.69230429787,1.9017962517,2.16104123376,2.75927846553,0.00944577739474
a_subj.2yuxqll0sl7g5le,1.85631276846,0.272829427581,1.38438705028,1.6627638651,1.83136012681,2.02377804044,2.44232269541,0.00650664791238
a_subj.31537m86qwe4ba7,1.49551055581,0.221741118872,1.11029758249,1.34098447937,1.47928983453,1.63114168018,1.97540276622,0.00407201910372
a_subj.31kpe18pm9gflbd,1.36041461864,0.209375568514,1.00814643038,1.21125906981,1.34335196725,1.48809615002,1.81100181715,0.00504929422851
a_subj.340ypb5pzmmwcaj,1.32920134848,0.202910010147,0.991394665777,1.18568544475,1.31113668861,1.44916014785,1.78176690396,0.00481451342143
a_subj.35tbwkls6hgjow3,2.01075815436,0.247139532777,1.57114742507,1.83661219857,2.00191324658,2.16158779715,2.5464310491,0.00466958144629
a_subj.37x2xp6l8majuvs,1.32765641122,0.222981643563,0.962293009676,1.16889336996,1.30142994353,1.46552482238,1.82201681253,0.00542561381139
a_subj.3ms8rt1dzdr8a9s,1.35765202789,0.22096359147,0.997915894197,1.19274048485,1.33616196302,1.49310156985,1.86099637829,0.00576047000858
a_subj.3usdftrcysly2q1,1.40341552594,0.214912999129,1.0307391314,1.25273577503,1.38368376039,1.53083031003,1.87660740792,0.00479855766343
a_subj.3vk11201bcgwkw4,1.83210306278,0.297812059195,1.33225958372,1.61785499995,1.79969412325,2.01107137426,2.48735627391,0.00705313473964
a_subj.418wug19fyzmrlz,1.54599848784,0.223477449654,1.1703668546,1.38360636708,1.52411747533,1.67732684685,2.05805323265,0.0046491897057
a_subj.42lg712asd61fzg,1.09399480062,0.165309011637,0.809778661911,0.978771201738,1.08083816992,1.19700532717,1.44880809291,0.0031046831497
a_subj.4c7t9jba047f931,1.43367832536,0.235188740754,1.05068233458,1.26364345733,1.40409009715,1.57423496203,1.97892188687,0.00623616487423
a_subj.4h9vwjfcoxqkybo,1.16020530212,0.214666749039,0.804979013661,1.00675674534,1.13728404688,1.29507751067,1.63599908427,0.00540187126416
a_subj.4hgt4tgx9aabqvf,2.16039914407,0.325749189335,1.6175265773,1.92096438856,2.13795913615,2.36250431,2.87121468905,0.00691217630689
a_subj.4l3c68axkhe1axs,1.58134324642,0.327278496061,1.04167817939,1.34925032165,1.54551641114,1.77317025725,2.30398097185,0.00972535141529
a_subj.4vkb7kxc6e013oq,1.66391639396,0.233329477365,1.26118930954,1.50117067037,1.64456416492,1.81040680945,2.17154685467,0.0051117805799
a_subj.4w2zk0wv03j7ax1,1.5429974146,0.218580574807,1.16712910394,1.38919446502,1.52388031157,1.6756830932,2.02732909847,0.00458221633808
a_subj.57ts7hhud4vv720,1.47600141054,0.240459196322,1.07834197133,1.30313415181,1.44806228696,1.62197579146,2.02025186638,0.00571400919601
a_subj.5c52f7r6fclqhfc,1.78833254044,0.21774560581,1.40488198322,1.63912155573,1.7700201416,1.92269822588,2.27192458332,0.003586284498
a_subj.5f0rsrfysjm1gu6,1.97025974294,0.317896221357,1.4396577355,1.75034099095,1.93760479737,2.16361585723,2.68147823444,0.00824489829025
a_subj.5hntdz656nznhyv,1.6580376898,0.266141127176,1.2007517494,1.46870226039,1.63402125219,1.82068948715,2.24954592203,0.00530198957778
a_subj.5r1w9km26bv82ud,2.10620559265,0.324278444307,1.57112986244,1.8696876547,2.07906204671,2.30158923658,2.83098455902,0.00793895669815
a_subj.67oces60kmr7wdf,1.45478328114,0.217383267409,1.08361571395,1.3059919584,1.43413166941,1.58820004093,1.92989662574,0.00461590304253
a_subj.6acf9km96sgqj20,1.38563369139,0.196493454801,1.05041185949,1.24545774936,1.36956474464,1.5099387879,1.80703717571,0.00396454789026
a_subj.6d6jzawq7n6mvq5,1.30216536887,0.201919146703,0.965793534658,1.15734478996,1.28045840142,1.42496646719,1.75521797285,0.00448415260003
a_subj.6eehqy90j1oyr5w,1.52195647011,0.226061172202,1.13320835511,1.35688589303,1.50181590137,1.66289902888,2.018090197,0.00427705022393
a_subj.6r6yy6dfgp39qe5,1.72743454875,0.260194932969,1.29146385511,1.54037018936,1.70012471926,1.89005190365,2.30432800716,0.0054983163253
a_subj.6ta3a3nakplz21e,2.18964535743,0.270979652519,1.73204352718,1.99831971598,2.16844768881,2.35634341641,2.79013161149,0.00600217415786
