,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.87275312077,0.0571292524143,1.76695313396,1.83341829601,1.87061769556,1.91082495532,1.98858999645,0.00307050547082
a_std,0.508275524349,0.0520231193385,0.41183422283,0.471067490005,0.507895792413,0.543842836352,0.613863375842,0.00299836876312
a_subj.09coqg8hlpux6fe,2.01830707666,0.463978266629,1.25832783426,1.68059114035,1.9689639644,2.30211563897,3.05325557854,0.0128880379443
a_subj.0b3t2skj9mlhbkn,1.81590345995,0.478951800779,1.0262763566,1.47440658643,1.76233570956,2.11556130268,2.8690604688,0.0178758384301
a_subj.0bcg7mtj2n1jjw9,2.77853555603,0.408591888381,2.08651342421,2.48816228638,2.74214922069,3.03054117541,3.65525090164,0.00858887381625
a_subj.0s53r30oouek89b,2.60472823889,0.531803095343,1.75201773917,2.23138155054,2.53765452902,2.89670921755,3.82982063526,0.017028740386
a_subj.0uj9gbhag3o1w1v,1.9032400866,0.322701872421,1.3534191105,1.6724257586,1.87508841004,2.09866259753,2.61112903251,0.00734146049465
a_subj.17nzn4k8r1qkmrn,1.7025424635,0.305564346683,1.20533206976,1.48430514952,1.66690741411,1.88809755557,2.40021516054,0.00694676450824
a_subj.1fdkw2qjx3hc3lk,1.693798316,0.407663126298,1.04822949636,1.39822382334,1.64069305532,1.93909566371,2.63701601122,0.0131947029259
a_subj.1mla0dmotqefnav,1.85458863114,0.322349148258,1.30968045087,1.62385932303,1.82601760237,2.05057146114,2.57888933627,0.00692182205689
a_subj.23hr9tl84h3zhw3,2.59285075335,0.382183176597,1.97301177884,2.3199443768,2.54997085652,2.81646458526,3.47392372886,0.00919445150454
a_subj.27muqwvalwne26r,1.78845763109,0.429562362539,1.0821984861,1.48000808255,1.73560074463,2.05065134109,2.73511265541,0.0153593974624
a_subj.2ezp7sand7hhv5p,1.85285259865,0.441710063933,1.14535816555,1.52471451966,1.80430496111,2.12130286033,2.85786508665,0.0135080978222
a_subj.2hweeb0gsvpz8nu,1.40641731075,0.215367403589,1.04158226641,1.25356942801,1.38743729049,1.53896369581,1.87493257368,0.00430433932752
a_subj.2y4c9mgda9gwqjf,2.07150020717,0.313337967185,1.53237664201,1.84546495656,2.04538366872,2.27096266991,2.75750339727,0.00715125693551
a_subj.2yuxqll0sl7g5le,1.72027258477,0.293768112921,1.23317786165,1.50778422092,1.6888074842,1.90514227725,2.37128960498,0.00718483698453
a_subj.31537m86qwe4ba7,1.60728568571,0.272372286215,1.14105779446,1.41041590472,1.58343349593,1.77542057802,2.22611432292,0.0061492961624
a_subj.31kpe18pm9gflbd,1.81994224136,0.450549661375,1.06464429194,1.49334917251,1.76958811191,2.09294247129,2.85043030794,0.015087385966
a_subj.340ypb5pzmmwcaj,1.79105733522,0.45224869937,1.06551628679,1.4702132693,1.7383587578,2.05116362674,2.82779693448,0.0128347952051
a_subj.35tbwkls6hgjow3,2.0790805555,0.351972560601,1.48480694346,1.83098802134,2.04873971473,2.28742365295,2.84647233048,0.00869766964998
a_subj.37x2xp6l8majuvs,1.83819393256,0.411567624855,1.16024180543,1.54872691848,1.78499352317,2.08410136335,2.77250605783,0.0126618061437
a_subj.3ms8rt1dzdr8a9s,2.01521684612,0.438124803758,1.29972740132,1.69307435152,1.96654201033,2.29188374822,2.99981517695,0.013834708875
a_subj.3usdftrcysly2q1,1.83417592978,0.426370173702,1.12406992202,1.52936838081,1.78919430166,2.10140640802,2.77076746787,0.0145784526376
a_subj.3vk11201bcgwkw4,2.08525506373,0.504413304673,1.26476986064,1.72376751262,2.03141429437,2.38269945539,3.22703839067,0.0163208972207
a_subj.418wug19fyzmrlz,1.88575691164,0.435320254307,1.15728104324,1.56957974528,1.84856040753,2.15749662819,2.82481648126,0.0143646514413
a_subj.42lg712asd61fzg,1.85865233921,0.204858721645,1.49687710124,1.718385076,1.84469128458,1.98424166097,2.30394694785,0.00519071756545
a_subj.4c7t9jba047f931,1.90834470471,0.389352432462,1.27733648444,1.62923498081,1.86824186122,2.14653297759,2.77841536355,0.0108840497615
a_subj.4h9vwjfcoxqkybo,1.2807318129,0.246966703873,0.876261072634,1.10441125618,1.25303033662,1.43026681505,1.83061225046,0.00636894107179
a_subj.4hgt4tgx9aabqvf,2.05655692845,0.448256816814,1.30838778813,1.73548220834,2.01066013122,2.32467416625,3.06359486706,0.0124895957888
a_subj.4l3c68axkhe1axs,2.43550844828,0.542180748075,1.54304306522,2.05845058901,2.37589450508,2.75591801441,3.61249333033,0.0156179753462
a_subj.4vkb7kxc6e013oq,1.85318051203,0.434337104154,1.12927452263,1.54242064258,1.80910753946,2.11279889297,2.83586026429,0.013278271946
a_subj.4w2zk0wv03j7ax1,1.74305254783,0.437233104198,1.02119571263,1.43661248872,1.69503723339,2.00379086769,2.74077351694,0.0148983257897
a_subj.57ts7hhud4vv720,2.1718437135,0.515049092679,1.31105671496,1.80575243272,2.11487168668,2.48827778272,3.3106273488,0.0170767995828
a_subj.5c52f7r6fclqhfc,1.2944354739,0.321940003407,0.789053718267,1.06383562937,1.25278483051,1.47867852564,2.03962849929,0.0113372358816
a_subj.5f0rsrfysjm1gu6,1.98474687603,0.448219631433,1.2212579956,1.66968790222,1.94892936204,2.2640985551,2.97107829932,0.0132238531943
a_subj.5hntdz656nznhyv,2.0335692367,0.467456517766,1.268404459,1.69963946185,1.98286652558,2.30927126156,3.09574623503,0.0155263512409
a_subj.5r1w9km26bv82ud,2.43119440733,0.329534272717,1.84342647028,2.19693017921,2.40972857521,2.63451948484,3.15274099009,0.00616712949656
a_subj.67oces60kmr7wdf,1.94950958692,0.255827451736,1.49794777314,1.76518429803,1.93236655081,2.10690267945,2.50361512559,0.00521521928597
a_subj.6acf9km96sgqj20,1.53142563176,0.391018636167,0.881233450776,1.25328617098,1.49594866964,1.76965472797,2.41404699369,0.0128850455802
a_subj.6d6jzawq7n6mvq5,1.76686876979,0.413686673938,1.08642538619,1.46667979653,1.72323921311,2.01847690526,2.6830285806,0.0131301817412
a_subj.6eehqy90j1oyr5w,2.05530821942,0.475241498602,1.27437659289,1.71177699835,2.01123431123,2.33782772093,3.11301183443,0.0139733928932
a_subj.6r6yy6dfgp39qe5,1.93996662342,0.466967788142,1.19081368182,1.59892399947,1.89178781871,2.22235324211,2.9784058677,0.0157657238486
a_subj.6ta3a3nakplz21e,2.0862266593,0.481724396842,1.31843642814,1.7344106107,2.03231126218,2.37891372512,3.21155648223,0.01449330161
a_subj.6tfnllyl7n9z0nn,2.67607421053,0.374140206208,2.02522340672,2.42078834431,2.64397790135,2.90661038497,3.50837767108,0.00843494315202
a_subj.6yej9ue6d4bbrkr,1.92391969058,0.451808079889,1.17313901664,1.60527983997,1.88001685321,2.19086043386,2.96120602839,0.0145184476147
a_subj.7fl2k09xll7cjbf,1.88847558083,0.442285718214,1.16522884208,1.57335143918,1.83467137884,2.15764252476,2.86200113744,0.0133456987819
a_subj.7lbz476vrd6q1xl,1.57707055415,0.268018187102,1.1266985968,1.38224934708,1.55137895753,1.74025175776,2.17348750531,0.00630440134674
a_subj.7ne61l6c2mfotnr,1.5096727865,0.293507851096,1.01913925194,1.30184961608,1.48010031101,1.68690401247,2.17654842592,0.00712134500309
a_subj.7nx72xp75l4argm,1.74700967246,0.437242130403,1.0359122509,1.4243679151,1.70273130283,2.00511115002,2.75031180261,0.0157870653949
a_subj.7pd0uut7knxn84d,1.8348089633,0.447958131258,1.08036998159,1.51123529193,1.79553735258,2.11465444359,2.82443194417,0.0141419093017
a_subj.7u0pkulr5ec68am,1.8478528241,0.422628603617,1.14771242893,1.53990716559,1.80776049366,2.09426034712,2.79296605878,0.0124362167594
a_subj.7ynpv8c34psnjr1,1.51638335249,0.411155177449,0.843453504741,1.21921371874,1.47313630767,1.76173835337,2.44974051417,0.0142368415736
a_subj.800x0aakfavd5yt,1.86687374053,0.421028841622,1.19829877966,1.56467035862,1.81687240253,2.11867723532,2.82819259607,0.0136779354991
a_subj.8a2tpra1tdjaq2z,1.91394619377,0.453298161709,1.15382457616,1.59106174546,1.86656793366,2.18782555726,2.90434062919,0.0141381655629
a_subj.8bwea2uj0afhoc4,2.04934504835,0.443007570921,1.32894286422,1.72717004418,2.01052889775,2.30632168548,3.082974014,0.0136931825982
a_subj.8lau41cww21elfy,2.11197761772,0.34711208741,1.51878420736,1.87127383482,2.08013595776,2.31971974331,2.87320144855,0.00819133192316
a_subj.8y74fx63nez2m7j,1.89165108578,0.455060745875,1.13446323725,1.56583192989,1.85361755961,2.1547942596,2.94306841842,0.0147136899145
a_subj.9d2kogp4rryrtk4,1.90600601548,0.434064782347,1.19934438808,1.60103954346,1.85805506217,2.15552669741,2.91218610192,0.0135181805113
a_subj.9mvgxtx98b0vkyf,1.52218795866,0.24073677568,1.11174539593,1.35319425725,1.49891560679,1.66580286413,2.04873123806,0.00589329882104
a_subj.9nsyny7uuany7rg,2.0262590906,0.45418546911,1.25270869109,1.70522854933,1.98797345011,2.29895057442,3.03887514936,0.0134144763447
a_subj.9s1z1twnj91t7lx,1.85039551083,0.324790458451,1.31516734974,1.61950575991,1.81736241836,2.04859248661,2.56464680961,0.00851398359622
a_subj.9ubzv3kztxtq4dm,1.02583358884,0.185948750577,0.718839952935,0.892117723336,1.00206642794,1.1393800434,1.44980609943,0.00455409719548
a_subj.9uqu2cfty0w34cc,2.05250389043,0.44667450011,1.31485466821,1.73576155227,2.00522964785,2.30647329469,3.07843588914,0.0116111349507
a_subj.9w5hcmz196vxqsl,1.89164292084,0.355614616736,1.30696788712,1.63960065423,1.85496158142,2.10266476474,2.70721756376,0.00832308602797
a_subj.9z1464693q7y2gh,2.80067914616,0.543695467545,1.93765975233,2.42133200173,2.74386991233,3.11212420881,4.08405430551,0.0153317436206
a_subj.a8vjwlza88n8v9b,1.54868264795,0.277264837924,1.06612255609,1.34320533192,1.52491325231,1.72694093062,2.13658940968,0.00560468574663
a_subj.ab4govku8vn8qyy,1.80537627416,0.416438766613,1.14807060916,1.50427378512,1.7613238204,2.05309193677,2.75362234005,0.0140886821121
a_subj.ajvlllkcvukfuk4,1.8990559692,0.458947280091,1.16300999322,1.56886592737,1.85410767896,2.16886073315,2.93739359824,0.0140183084571
a_subj.al1qr3k2bocpl62,1.83796952221,0.425371076723,1.13889898418,1.53136096874,1.79982540944,2.10097791942,2.77882964609,0.0129981593159
a_subj.amjp90jlyotqp8g,1.78751058894,0.467751683233,1.01679655714,1.45219615138,1.74025357456,2.07028329675,2.84685448508,0.0153192366084
a_subj.apbxm43vqzha5ll,1.2681041074,0.201073641629,0.92754612142,1.12386047439,1.24861320668,1.39716692278,1.70622069211,0.00452170547789
a_subj.aule4a6z1mgjop5,1.36476465917,0.41767361726,0.69551246025,1.05634228062,1.32468500561,1.61981474504,2.25412115648,0.019504931492
a_subj.axy8mageyccp4lp,1.81824986308,0.433004265498,1.12259931632,1.50147008209,1.76827162965,2.08774752845,2.77463721737,0.0137140636596
a_subj.b16jmwnn4jhtbvf,2.17076933093,0.409020322493,1.51621977095,1.87921222023,2.12161347288,2.41362132739,3.09987367076,0.0103278600049
a_subj.b5ucus3jtvgwk8j,1.41152104987,0.287817972264,0.94457538665,1.20061042495,1.37873099646,1.58675591568,2.06627758165,0.0072693815416
a_subj.bbjugvdcmq5burg,2.08938167356,0.465669434531,1.32313001851,1.75696094281,2.03914270351,2.37129180737,3.12374612368,0.0150875530184
a_subj.bjz902x2szufg43,1.77735845851,0.435215963925,1.0344539017,1.46589911338,1.73382555562,2.04949547336,2.74209653301,0.0159088200805
a_subj.bmlp46ta94pzt5x,1.1439729714,0.172467726748,0.842845663414,1.02546036816,1.1310588854,1.2499270591,1.52081618795,0.00380676565477
a_subj.bnk23r6ye2uhm23,1.96075547519,0.306528544505,1.4489468319,1.73914201824,1.92957659026,2.15054801852,2.63310735027,0.00660161272076
a_subj.bqbeqo54qk2pqtm,1.68333568721,0.432668516088,0.9940409195,1.38098588676,1.63473253693,1.91821209012,2.6760696876,0.0133750301279
a_subj.bqqulny2mjnp5ph,1.49980869699,0.270445843308,1.05641469902,1.30621603435,1.47227108635,1.66332251785,2.09525711957,0.00621909127523
a_subj.bsfokoumbg75uwq,1.97501401807,0.290192342461,1.47536724569,1.76229512991,1.95355249912,2.14836782457,2.60285210684,0.00569556994587
a_subj.buqm38thbsvmvk3,1.77381985085,0.308218553353,1.25541347014,1.55261971024,1.74544111799,1.96452719136,2.44437326583,0.0080088911824
a_subj.bz0g64q264z73lb,2.17510814708,0.436099814776,1.46745312821,1.86184532903,2.12791516862,2.43220511578,3.15954018562,0.0106241216192
