,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.87721848193,0.0651879695441,1.75890718452,1.83182149954,1.87476463841,1.91953659267,2.01110253133,0.00390458490496
a_std,0.559746563618,0.0610767074815,0.437974526202,0.519392517432,0.559374725184,0.599421798619,0.680489936198,0.00386579278297
a_subj.09coqg8hlpux6fe,1.47398223364,0.290494654893,1.00304954494,1.26362534937,1.44519145858,1.65124655919,2.14915366768,0.00749669580705
a_subj.0b3t2skj9mlhbkn,2.0618744043,0.450124371811,1.31270251384,1.75144546716,2.0054301385,2.31984190606,3.08196184737,0.0128903340998
a_subj.0bcg7mtj2n1jjw9,2.88699148925,0.513191441392,1.9998429117,2.52775098577,2.84935396805,3.21151915163,3.98729530186,0.0145283165556
a_subj.0s53r30oouek89b,2.63835250661,0.566462900268,1.76463545064,2.23061779717,2.56445720395,2.9622175328,3.9854963155,0.0186929409754
a_subj.0uj9gbhag3o1w1v,1.96886668872,0.521975476516,1.14944793891,1.58366574228,1.89869912192,2.29449336908,3.12994630224,0.0202843057071
a_subj.17nzn4k8r1qkmrn,2.16585001086,0.462119180752,1.41102032537,1.83676359914,2.10982897908,2.45321851235,3.21113214662,0.0115168379356
a_subj.1fdkw2qjx3hc3lk,2.05983695696,0.450823973364,1.31350860367,1.73952797662,2.00117440607,2.33620985243,3.08591784598,0.0124234448067
a_subj.1mla0dmotqefnav,1.76801354832,0.339734144389,1.23200315313,1.52258944783,1.72317808705,1.96873358389,2.56755177654,0.00845128704193
a_subj.23hr9tl84h3zhw3,2.55139601083,0.500866974289,1.75336799677,2.19386798943,2.48694094634,2.83996761546,3.6717929328,0.014992292995
a_subj.27muqwvalwne26r,2.13279622784,0.489298482744,1.35202206878,1.77684533415,2.07406473935,2.43370938151,3.24251272558,0.0150167118614
a_subj.2ezp7sand7hhv5p,1.97878692069,0.478177118626,1.21192124238,1.63072764066,1.92196858926,2.26214887702,3.0667421918,0.0156697862934
a_subj.2hweeb0gsvpz8nu,1.34696054551,0.20552942672,1.00149091212,1.19748961168,1.32889885419,1.47861672766,1.79450340345,0.00469719131734
a_subj.2y4c9mgda9gwqjf,2.20410308676,0.406183261478,1.52834595842,1.91126868157,2.16853208468,2.4484379798,3.11599886294,0.0109009767441
a_subj.2yuxqll0sl7g5le,1.91222231884,0.492512152837,1.1183143134,1.56548736328,1.85043833138,2.18591753801,3.0388186935,0.0171169455896
a_subj.31537m86qwe4ba7,2.06194812967,0.502004543982,1.26551441252,1.71431839639,1.99333513656,2.33800723525,3.28415524967,0.0192342928283
a_subj.31kpe18pm9gflbd,1.91118445598,0.465908890243,1.13936476249,1.5766315025,1.86558272111,2.19619338044,2.95736670778,0.0142510605266
a_subj.340ypb5pzmmwcaj,1.91321414526,0.50436043702,1.12494401463,1.54146398354,1.85335052579,2.2221535347,3.05338366223,0.0167125232823
a_subj.35tbwkls6hgjow3,1.95966898111,0.499775442034,1.18334097745,1.59679089258,1.90109624461,2.25335641604,3.1252017332,0.0167534446246
a_subj.37x2xp6l8majuvs,1.99395241569,0.505503457159,1.19753635083,1.63192734748,1.94165936425,2.29333063705,3.16025872343,0.0155814180529
a_subj.3ms8rt1dzdr8a9s,1.81007842777,0.371688528277,1.2116074166,1.5419855326,1.76548747048,2.03011388547,2.65628893813,0.009922271837
a_subj.3usdftrcysly2q1,1.70597519225,0.459673769148,0.985832407062,1.37280774147,1.63962252849,1.98411591966,2.75796061766,0.0178219931515
a_subj.3vk11201bcgwkw4,2.47294997863,0.586139979089,1.52915636759,2.0577251501,2.40188420013,2.82249306589,3.86593943063,0.0183707766922
a_subj.418wug19fyzmrlz,1.85072346649,0.450967242847,1.12710857457,1.52645267526,1.79646693437,2.11611844889,2.86354796171,0.0135686264894
a_subj.42lg712asd61fzg,1.53059843772,0.190690172512,1.19221141426,1.39229979499,1.51867846585,1.65201107217,1.94653863638,0.00356475723238
a_subj.4c7t9jba047f931,2.42470130042,0.389645173561,1.77145244689,2.150116364,2.38783137177,2.66251542066,3.28131148942,0.00931271206808
a_subj.4h9vwjfcoxqkybo,2.07256592995,0.50332930437,1.25199316316,1.71903740415,2.02610361795,2.36854420362,3.21794778917,0.0154896349989
a_subj.4hgt4tgx9aabqvf,1.94401022815,0.326567500825,1.38428943452,1.71024247972,1.91432395512,2.14550188227,2.64868317399,0.00652307110427
a_subj.4l3c68axkhe1axs,2.26531236389,0.560013501597,1.38480534793,1.85379926547,2.21567531089,2.59111587886,3.58478964936,0.0200869947073
a_subj.4vkb7kxc6e013oq,1.95377912694,0.419704718586,1.2705679677,1.65370340246,1.89889795562,2.20399967242,2.91505319916,0.0131260846362
a_subj.4w2zk0wv03j7ax1,1.83681793132,0.484493220985,1.06947100267,1.4878226165,1.7740504478,2.1149196022,2.95637775083,0.017790103066
a_subj.57ts7hhud4vv720,2.03098236217,0.519818612595,1.20479995461,1.65619818285,1.97348868751,2.34068359092,3.22799838866,0.0197654905887
a_subj.5c52f7r6fclqhfc,1.45634071398,0.313689856719,0.950138636999,1.22410585891,1.42409570138,1.65022202508,2.15255315276,0.00969975893736
a_subj.5f0rsrfysjm1gu6,1.63224163302,0.311698079686,1.12949386734,1.40663570515,1.59632265404,1.81885682662,2.33348996693,0.00806327713964
a_subj.5hntdz656nznhyv,2.0851065439,0.53281761025,1.22319746471,1.70648701946,2.02021192295,2.38359088718,3.31246564483,0.0188969480128
a_subj.5r1w9km26bv82ud,2.18875763679,0.478482788139,1.42849522212,1.8385488504,2.1313988997,2.46773249483,3.28109420332,0.0127848314145
a_subj.67oces60kmr7wdf,1.38002944662,0.256087442859,0.9635719145,1.19614877968,1.35111884357,1.52788496701,1.96440819884,0.006805704842
a_subj.6acf9km96sgqj20,1.66865385037,0.340148935889,1.1018383713,1.41938801048,1.64053730815,1.88490798761,2.42328536045,0.00850837554604
a_subj.6d6jzawq7n6mvq5,1.66121604339,0.449272999713,0.95721419365,1.33373073098,1.60609048308,1.93280561103,2.70070436335,0.0185066687928
a_subj.6eehqy90j1oyr5w,1.94612183772,0.433218342814,1.26221531948,1.62993977982,1.89096331914,2.19906161809,2.9728384947,0.0130642381027
a_subj.6r6yy6dfgp39qe5,1.52497832293,0.299186733632,1.02330964954,1.31104582935,1.49455372452,1.70361050521,2.19961258238,0.00858468428499
a_subj.6ta3a3nakplz21e,1.99043733912,0.355934655282,1.39246467693,1.7403744075,1.95385090549,2.20587902984,2.79001909315,0.008436224753
a_subj.6tfnllyl7n9z0nn,2.45645293805,0.532099995098,1.64281711625,2.07410611392,2.38555417424,2.74741426315,3.74229162457,0.014209555509
a_subj.6yej9ue6d4bbrkr,2.04562997159,0.455365984192,1.31638202032,1.71251845409,1.99643120306,2.33050614712,3.06660124849,0.0141036036964
a_subj.7fl2k09xll7cjbf,1.47175923045,0.449565932936,0.745685322983,1.14535490175,1.42171745085,1.73636823672,2.50226671983,0.0208887478658
a_subj.7lbz476vrd6q1xl,1.24035099971,0.214139879549,0.876572689417,1.0825818271,1.22031913527,1.37457666664,1.71033830006,0.00508193892267
