,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.92233757023,0.0610209291733,1.80945706677,1.8796753551,1.92117530483,1.96306884856,2.04722981002,0.00304573088373
a_std,0.58856242786,0.0525062803188,0.490726174039,0.552656497807,0.586480117491,0.622247806852,0.693339147239,0.00282186952552
a_subj.09coqg8hlpux6fe,1.65258168748,0.276718248731,1.19052707184,1.45976564169,1.62603816686,1.81728057016,2.27234905515,0.00553589204366
a_subj.0b3t2skj9mlhbkn,1.63195776791,0.266111185091,1.18675901599,1.43826902844,1.60488003895,1.80204565933,2.20728129577,0.0063711980684
a_subj.0bcg7mtj2n1jjw9,2.90198909709,0.397863428516,2.22294043219,2.6186743873,2.8726816893,3.14995125497,3.76600835512,0.00777368551274
a_subj.0s53r30oouek89b,2.37703443962,0.359508757524,1.73043235074,2.12984603558,2.35407872992,2.60349681816,3.17268846451,0.00766885421325
a_subj.0uj9gbhag3o1w1v,2.63111378202,0.621523377525,1.62073861863,2.18507532926,2.57152816104,3.00302857391,4.00833801125,0.0187798421107
a_subj.17nzn4k8r1qkmrn,2.09893031327,0.366400099365,1.49606287285,1.83340894602,2.05550672874,2.32553075775,2.92722363046,0.00899325975752
a_subj.1fdkw2qjx3hc3lk,2.01618754363,0.453379267009,1.26916819761,1.69894816085,1.96283562814,2.2903293726,3.06709382414,0.0137810599956
a_subj.1mla0dmotqefnav,2.00595247288,0.480714664369,1.237373101,1.65779881807,1.95839234624,2.29176913102,3.09377935196,0.0162169746999
a_subj.23hr9tl84h3zhw3,2.24690661776,0.366851217904,1.61442651603,1.98628005075,2.20860278643,2.47370900849,3.04672473423,0.0086917900342
a_subj.27muqwvalwne26r,1.83349588321,0.480349028518,1.07864153948,1.48387843806,1.77104854281,2.12384609996,2.90010170889,0.0165943566493
a_subj.2ezp7sand7hhv5p,2.28834976983,0.502156896026,1.46996020097,1.923826217,2.23560337083,2.60157287325,3.38988315883,0.0137018560035
a_subj.2hweeb0gsvpz8nu,1.65358078212,0.300243160811,1.15573786396,1.43705373085,1.62286461448,1.8393633578,2.32756613363,0.00611344923236
a_subj.2y4c9mgda9gwqjf,2.35259386202,0.316685601749,1.80484769402,2.13220160422,2.32614462815,2.55064161114,3.03835799046,0.0056034199317
a_subj.2yuxqll0sl7g5le,1.65378867904,0.330408378852,1.10028847351,1.4195703701,1.61724986976,1.85800212531,2.37941617153,0.00826317090539
a_subj.31537m86qwe4ba7,1.79162051577,0.418422081596,1.11095108204,1.48881586017,1.74904112822,2.04290646204,2.74460058273,0.0124846986508
a_subj.31kpe18pm9gflbd,1.90417307921,0.531775836698,1.06068986828,1.5277857843,1.83442900271,2.21410125768,3.12490676964,0.0228786126924
a_subj.340ypb5pzmmwcaj,2.01067763341,0.41626477722,1.34810103315,1.70908112641,1.95809927916,2.2564538133,2.97693034747,0.0103715593188
a_subj.35tbwkls6hgjow3,2.16194728258,0.469890558725,1.40123528808,1.81499733954,2.11842354758,2.4415079556,3.22387532246,0.0140487442711
a_subj.37x2xp6l8majuvs,1.70349389472,0.460301967043,0.943938861749,1.36307189414,1.65355714294,1.99042099489,2.74602010987,0.0160522733985
a_subj.3ms8rt1dzdr8a9s,1.74041161105,0.282646252116,1.26472468354,1.53622947537,1.71427147023,1.91275078151,2.36329607296,0.00663056691785
a_subj.3usdftrcysly2q1,1.56472462655,0.439186304818,0.880312325519,1.24137787249,1.50955177637,1.81821078099,2.57116321635,0.0181088725306
a_subj.3vk11201bcgwkw4,2.82875043703,0.609335255626,1.79832770095,2.40046921039,2.77048484735,3.19000185345,4.21004245679,0.0160580401572
a_subj.418wug19fyzmrlz,2.22393045761,0.362212069796,1.63614405199,1.96130917187,2.18900287071,2.4381069441,3.03602870501,0.00877754271633
a_subj.42lg712asd61fzg,1.69084127374,0.27402988764,1.23596825655,1.49321291214,1.66376601944,1.86007754663,2.3099334557,0.00591990117444
a_subj.4c7t9jba047f931,2.67080356833,0.47984597216,1.83478762197,2.33111087673,2.6323162728,2.97724248861,3.73280613427,0.0119776417442
a_subj.4h9vwjfcoxqkybo,1.57576562192,0.280793806496,1.0928957498,1.37908331521,1.55041633509,1.7466490626,2.19730003852,0.00691801841425
a_subj.4hgt4tgx9aabqvf,2.04897967189,0.307637241696,1.53208331889,1.83167959743,2.02333503015,2.23693339528,2.72829744599,0.00716318632372
a_subj.4l3c68axkhe1axs,1.79219536139,0.443426437995,1.11960557041,1.4601613337,1.73359776282,2.05754611977,2.83225160483,0.0133320808239
